,Rank,City,Domestic Beer (0.5 liter draught)
0,,Albania,1.39
1,,Algeria,1.56
2,,Argentina,1.81
3,,Armenia,1.03
4,,Australia,5.38
5,,Austria,4.34
6,,Azerbaijan,1.06
7,,Bahrain,7.97
8,,Bangladesh,5.00
9,,Belarus,1.24
10,,Belgium,4.45
11,,Bolivia,2.03
12,,Bosnia And Herzegovina,1.71
13,,Brazil,1.31
14,,Bulgaria,1.42
15,,Cambodia,1.00
16,,Canada,4.37
17,,Chile,3.60
18,,China,1.12
19,,Colombia,1.08
20,,Costa Rica,2.63
21,,Croatia,2.49
22,,Cyprus,3.79
23,,Czech Republic,1.66
24,,Denmark,7.39
25,,Dominican Republic,2.67
26,,Ecuador,2.00
27,,Egypt,1.90
28,,Estonia,4.45
29,,Finland,6.68
30,,France,6.68
31,,Georgia,0.94
32,,Germany,4.01
33,,Ghana,1.34
34,,Greece,4.45
35,,Guatemala,1.95
36,,Hong Kong,6.45
37,,Hungary,1.93
38,,Iceland,8.85
39,,India,1.99
40,,Indonesia,2.55
41,,Iran,1.00
42,,Iraq,1.88
43,,Ireland,5.57
44,,Israel,8.57
45,,Italy,5.57
46,,Japan,4.65
47,,Jordan,7.05
48,,Kazakhstan,1.21
49,,Kenya,1.97
50,,Kosovo (Disputed Territory),1.67
51,,Kuwait,-
52,,Latvia,3.34
53,,Lebanon,4.00
54,,Lithuania,3.34
55,,Luxembourg,5.57
56,,Malaysia,3.47
57,,Malta,3.34
58,,Mauritius,1.69
59,,Mexico,1.36
60,,Moldova,1.14
61,,Montenegro,2.45
62,,Morocco,3.06
63,,Nepal,2.48
64,,Netherlands,5.01
65,,New Zealand,6.24
66,,Nigeria,0.78
67,,North Macedonia,1.80
68,,Norway,9.31
69,,Oman,10.40
70,,Pakistan,2.46
71,,Panama,2.00
72,,Peru,2.12
73,,Philippines,1.49
74,,Poland,2.26
75,,Portugal,2.23
76,,Puerto Rico,2.12
77,,Qatar,13.63
78,,Romania,1.60
79,,Russia,1.71
80,,Saudi Arabia,1.33
81,,Serbia,1.70
82,,Singapore,7.10
83,,Slovakia,1.89
84,,Slovenia,2.84
85,,South Africa,1.72
86,,South Korea,3.26
87,,Spain,2.78
88,,Sri Lanka,1.61
89,,Sweden,7.35
90,,Switzerland,7.29
91,,Syria,2.00
92,,Taiwan,2.00
93,,Tanzania,0.97
94,,Thailand,2.05
95,,Trinidad And Tobago,1.55
96,,Tunisia,1.39
97,,Turkey,2.35
98,,Uganda,1.06
99,,Ukraine,1.00
100,,United Arab Emirates,11.84
101,,United Kingdom,4.95
102,,United States,5.00
103,,Uruguay,3.46
104,,Uzbekistan,2.00
105,,Venezuela,1.45
106,,Vietnam,0.86
