,Rank,City,Taxi 1hour Waiting (Normal Tariff)
0,,Albania,10.84
1,,Algeria,6.53
2,,Argentina,22.50
3,,Armenia,2.51
4,,Australia,37.34
5,,Austria,30.38
6,,Azerbaijan,3.81
7,,Bahrain,-
8,,Bangladesh,2.57
9,,Belarus,3.44
10,,Belgium,32.79
11,,Bosnia And Herzegovina,5.58
12,,Brazil,8.24
13,,Bulgaria,7.37
14,,Cambodia,-
15,,Canada,25.83
16,,Chile,12.49
17,,China,4.84
18,,Colombia,7.41
19,,Costa Rica,13.08
20,,Croatia,5.77
21,,Cyprus,27.32
22,,Czech Republic,14.33
23,,Denmark,58.60
24,,Dominican Republic,6.69
25,,Ecuador,8.00
26,,Egypt,2.20
27,,Estonia,13.11
28,,Finland,48.74
29,,France,34.97
30,,Georgia,3.48
31,,Germany,28.42
32,,Greece,11.86
33,,Guatemala,-
34,,Hong Kong,12.38
35,,Hungary,14.86
36,,Iceland,59.22
37,,India,1.57
38,,Indonesia,3.18
39,,Iran,4.80
40,,Iraq,10.50
41,,Ireland,25.57
42,,Israel,24.27
43,,Italy,29.89
44,,Jamaica,8.63
45,,Japan,28.84
46,,Jordan,7.06
47,,Kazakhstan,4.30
48,,Kenya,5.12
49,,Kuwait,8.25
50,,Latvia,8.74
51,,Lebanon,15.00
52,,Lithuania,9.84
53,,Luxembourg,-
54,,Macedonia,5.30
55,,Malaysia,7.31
56,,Malta,13.66
57,,Mauritius,-
58,,Mexico,7.74
59,,Moldova,2.75
60,,Montenegro,6.56
61,,Morocco,3.66
62,,Nepal,-
63,,Netherlands,32.79
64,,New Zealand,42.54
65,,Nigeria,6.03
66,,Norway,55.91
67,,Oman,-
68,,Pakistan,1.96
69,,Panama,12.50
70,,Peru,7.13
71,,Philippines,3.37
72,,Poland,9.29
73,,Portugal,16.17
74,,Puerto Rico,25.00
75,,Qatar,6.87
76,,Romania,3.60
77,,Russia,5.61
78,,Saudi Arabia,8.00
79,,Serbia,6.79
80,,Singapore,13.27
81,,Slovakia,13.11
82,,Slovenia,15.19
83,,South Africa,4.08
84,,South Korea,8.96
85,,Spain,21.86
86,,Sri Lanka,0.75
87,,Sweden,53.11
88,,Switzerland,72.98
89,,Taiwan,7.29
90,,Tanzania,4.26
91,,Thailand,3.56
92,,Trinidad And Tobago,-
93,,Tunisia,8.89
94,,Turkey,7.82
95,,Ukraine,2.85
96,,United Arab Emirates,8.17
97,,United Kingdom,30.40
98,,United States,30.00
99,,Uruguay,11.13
100,,Venezuela,4.50
101,,Vietnam,1.38
102,,Zimbabwe,-
