,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Albania,0.22
1,,Algeria,0.08
2,,Argentina,0.20
3,,Armenia,0.04
4,,Australia,0.24
5,,Austria,0.05
6,,Azerbaijan,0.03
7,,Bahamas,-
8,,Bahrain,0.11
9,,Bangladesh,0.01
10,,Belarus,0.04
11,,Belgium,0.22
12,,Belize,0.28
13,,Bolivia,0.17
14,,Bosnia And Herzegovina,0.13
15,,Brazil,0.36
16,,Bulgaria,0.17
17,,Cambodia,0.07
18,,Canada,0.25
19,,Chile,0.16
20,,China,0.03
21,,Colombia,0.06
22,,Costa Rica,0.06
23,,Croatia,0.10
24,,Cyprus,0.09
25,,Czech Republic,0.14
26,,Denmark,0.12
27,,Dominican Republic,0.19
28,,Ecuador,0.14
29,,Egypt,0.01
30,,El Salvador,0.11
31,,Estonia,0.05
32,,Fiji,0.18
33,,Finland,0.08
34,,France,0.17
35,,Georgia,0.10
36,,Germany,0.11
37,,Ghana,-
38,,Greece,0.42
39,,Guatemala,0.14
40,,Hong Kong,0.07
41,,Hungary,0.10
42,,Iceland,0.22
43,,India,0.01
44,,Indonesia,0.11
45,,Iran,0.02
46,,Iraq,0.10
47,,Ireland,0.31
48,,Israel,0.07
49,,Italy,0.20
50,,Jamaica,0.05
51,,Japan,0.35
52,,Jordan,0.05
53,,Kazakhstan,0.03
54,,Kenya,0.03
55,,Kosovo (Disputed Territory),0.06
56,,Kuwait,0.15
57,,Latvia,0.08
58,,Lebanon,0.30
59,,Lithuania,0.07
60,,Luxembourg,-
61,,Macedonia,0.11
62,,Malaysia,0.06
63,,Malta,0.24
64,,Mauritius,0.07
65,,Mexico,0.06
66,,Moldova,0.08
67,,Montenegro,0.15
68,,Morocco,0.14
69,,Namibia,0.11
70,,Nepal,0.02
71,,Netherlands,0.17
72,,New Zealand,0.39
73,,Nigeria,0.06
74,,Norway,0.10
75,,Oman,0.15
76,,Pakistan,0.02
77,,Panama,0.13
78,,Peru,0.15
79,,Philippines,0.15
80,,Poland,0.06
81,,Portugal,0.21
82,,Puerto Rico,0.13
83,,Qatar,0.17
84,,Romania,0.11
85,,Russia,0.03
86,,Saudi Arabia,0.12
87,,Serbia,0.12
88,,Singapore,0.10
89,,Slovakia,0.09
90,,Slovenia,0.08
91,,South Africa,0.14
92,,South Korea,0.13
93,,Spain,0.19
94,,Sri Lanka,0.02
95,,Sweden,0.11
96,,Switzerland,0.29
97,,Taiwan,0.18
98,,Tanzania,0.13
99,,Thailand,0.05
100,,Trinidad And Tobago,0.15
101,,Tunisia,0.09
102,,Turkey,0.15
103,,Uganda,0.09
104,,Ukraine,0.03
105,,United Arab Emirates,0.10
106,,United Kingdom,0.14
107,,United States,0.12
108,,Uruguay,0.17
109,,Uzbekistan,0.02
110,,Venezuela,0.04
111,,Vietnam,0.08
112,,Zimbabwe,0.17
