,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Albania,23.95
1,,Argentina,35.59
2,,Australia,59.13
3,,Austria,23.65
4,,Bahrain,60.19
5,,Bangladesh,33.96
6,,Belarus,17.86
7,,Belgium,41.62
8,,Bosnia And Herzegovina,20.18
9,,Brazil,36.37
10,,Bulgaria,10.67
11,,Cambodia,54.83
12,,Canada,44.32
13,,Chile,42.57
14,,China,22.19
15,,Colombia,41.03
16,,Costa Rica,56.43
17,,Croatia,25.35
18,,Cyprus,57.74
19,,Czech Republic,19.88
20,,Denmark,30.02
21,,Dominican Republic,88.00
22,,Ecuador,61.75
23,,Egypt,48.33
24,,Estonia,20.37
25,,Finland,26.01
26,,France,37.06
27,,Georgia,18.57
28,,Germany,28.65
29,,Greece,24.80
30,,Hong Kong,21.99
31,,Hungary,19.33
32,,Iceland,45.80
33,,India,19.27
34,,Indonesia,39.46
35,,Iran,42.86
36,,Iraq,50.22
37,,Ireland,45.32
38,,Israel,22.89
39,,Italy,31.47
40,,Japan,46.82
41,,Jordan,43.08
42,,Kazakhstan,31.62
43,,Kenya,50.18
44,,Kuwait,59.33
45,,Latvia,17.13
46,,Lebanon,56.91
47,,Lithuania,12.36
48,,Luxembourg,50.62
49,,Macedonia,13.95
50,,Malaysia,45.44
51,,Malta,23.15
52,,Mauritius,73.15
53,,Mexico,28.29
54,,Morocco,23.01
55,,Nepal,24.49
56,,Netherlands,29.93
57,,New Zealand,60.39
58,,Nigeria,91.67
59,,Norway,56.74
60,,Oman,68.25
61,,Pakistan,28.56
62,,Peru,49.57
63,,Philippines,38.93
64,,Poland,15.43
65,,Portugal,27.51
66,,Puerto Rico,53.10
67,,Qatar,100.68
68,,Romania,9.06
69,,Russia,12.78
70,,Saudi Arabia,57.51
71,,Serbia,22.49
72,,Singapore,34.50
73,,Slovakia,16.64
74,,Slovenia,31.84
75,,South Africa,70.71
76,,South Korea,20.89
77,,Spain,42.26
78,,Sri Lanka,15.93
79,,Sweden,28.28
80,,Switzerland,44.81
81,,Taiwan,23.50
82,,Tanzania,18.07
83,,Thailand,20.91
84,,Tunisia,37.18
85,,Turkey,28.39
86,,Ukraine,10.50
87,,United Arab Emirates,72.34
88,,United Kingdom,29.52
89,,United States,44.62
90,,Uruguay,37.51
91,,Venezuela,49.34
92,,Vietnam,15.44
