,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,2.72
1,,Algeria,2.27
2,,Argentina,4.00
3,,Armenia,1.69
4,,Australia,6.94
5,,Austria,4.56
6,,Azerbaijan,4.78
7,,Bahrain,6.63
8,,Bangladesh,5.48
9,,Belarus,4.00
10,,Belgium,4.08
11,,Bosnia And Herzegovina,2.08
12,,Brazil,4.02
13,,Bulgaria,1.81
14,,Cambodia,2.00
15,,Canada,5.53
16,,Chile,3.07
17,,China,3.20
18,,Colombia,2.63
19,,Costa Rica,3.61
20,,Croatia,2.69
21,,Cyprus,5.44
22,,Czech Republic,1.73
23,,Denmark,7.29
24,,Dominican Republic,3.47
25,,Ecuador,3.00
26,,Egypt,2.59
27,,Estonia,2.72
28,,Finland,6.80
29,,France,5.44
30,,Georgia,1.69
31,,Germany,4.08
32,,Greece,5.44
33,,Hong Kong,3.87
34,,Hungary,1.80
35,,Iceland,7.07
36,,India,2.53
37,,Indonesia,3.41
38,,Iran,5.00
39,,Iraq,3.50
40,,Ireland,6.80
41,,Israel,7.33
42,,Italy,4.76
43,,Jamaica,2.25
44,,Japan,4.90
45,,Jordan,7.05
46,,Kazakhstan,2.59
47,,Kenya,2.62
48,,Kuwait,5.32
49,,Latvia,2.04
50,,Lebanon,3.00
51,,Lithuania,2.36
52,,Luxembourg,5.44
53,,Macedonia,1.99
54,,Malaysia,3.72
55,,Malta,2.72
56,,Mexico,3.11
57,,Morocco,3.40
58,,Nepal,2.47
59,,Netherlands,4.08
60,,New Zealand,6.78
61,,Nigeria,3.07
62,,Norway,11.68
63,,Oman,7.79
64,,Pakistan,6.09
65,,Panama,3.00
66,,Peru,2.89
67,,Philippines,2.05
68,,Poland,2.30
69,,Portugal,2.04
70,,Puerto Rico,3.00
71,,Qatar,10.99
72,,Romania,2.17
73,,Russia,2.86
74,,Saudi Arabia,0.93
75,,Serbia,2.12
76,,Singapore,6.37
77,,Slovakia,2.04
78,,Slovenia,3.67
79,,South Africa,2.27
80,,South Korea,4.88
81,,Spain,3.50
82,,Sri Lanka,1.99
83,,Sweden,7.47
84,,Switzerland,6.13
85,,Taiwan,3.00
86,,Thailand,3.04
87,,Trinidad And Tobago,2.17
88,,Tunisia,2.15
89,,Turkey,4.05
90,,Ukraine,1.54
91,,United Arab Emirates,9.53
92,,United Kingdom,5.86
93,,United States,5.00
94,,Uruguay,3.91
95,,Venezuela,6.33
96,,Vietnam,1.66
