,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Albania,1.09
1,,Algeria,0.58
2,,Argentina,1.43
3,,Armenia,0.65
4,,Australia,2.46
5,,Austria,3.00
6,,Azerbaijan,0.41
7,,Bahamas,2.56
8,,Bahrain,0.62
9,,Bangladesh,0.32
10,,Belarus,0.73
11,,Belgium,2.65
12,,Belize,1.00
13,,Bolivia,0.79
14,,Bosnia And Herzegovina,1.35
15,,Brazil,1.20
16,,Bulgaria,0.96
17,,Cambodia,0.76
18,,Canada,1.68
19,,Chile,1.30
20,,China,0.53
21,,Colombia,0.77
22,,Costa Rica,1.62
23,,Croatia,2.20
24,,Cyprus,1.65
25,,Czech Republic,1.35
26,,Denmark,3.28
27,,Dominican Republic,0.91
28,,Ecuador,0.73
29,,Egypt,0.29
30,,El Salvador,0.74
31,,Estonia,1.77
32,,Fiji,1.50
33,,Finland,2.75
34,,France,2.89
35,,Georgia,0.48
36,,Germany,2.66
37,,Ghana,0.88
38,,Greece,1.67
39,,Guatemala,1.05
40,,Hong Kong,1.22
41,,Hungary,1.07
42,,Iceland,2.95
43,,India,0.45
44,,Indonesia,0.54
45,,Iran,0.49
46,,Iraq,0.43
47,,Ireland,2.01
48,,Israel,2.48
49,,Italy,2.36
50,,Jamaica,0.93
51,,Japan,1.19
52,,Jordan,0.55
53,,Kazakhstan,0.56
54,,Kenya,0.50
55,,Kosovo (Disputed Territory),1.17
56,,Kuwait,0.53
57,,Latvia,1.13
58,,Lebanon,1.00
59,,Lithuania,1.56
60,,Luxembourg,3.13
61,,Macedonia,1.21
62,,Malaysia,0.58
63,,Malta,1.95
64,,Mauritius,1.28
65,,Mexico,0.70
66,,Moldova,0.68
67,,Montenegro,1.93
68,,Morocco,0.56
69,,Namibia,0.73
70,,Nepal,0.50
71,,Netherlands,2.68
72,,New Zealand,2.06
73,,Nigeria,0.32
74,,Norway,3.53
75,,Oman,0.50
76,,Pakistan,0.33
77,,Panama,1.34
78,,Peru,0.70
79,,Philippines,0.57
80,,Poland,1.09
81,,Portugal,1.48
82,,Puerto Rico,1.03
83,,Qatar,0.44
84,,Romania,1.33
85,,Russia,0.81
86,,Saudi Arabia,0.67
87,,Serbia,1.35
88,,Singapore,1.17
89,,Slovakia,1.46
90,,Slovenia,2.35
91,,South Africa,1.01
92,,South Korea,1.53
93,,Spain,2.05
94,,Sri Lanka,0.69
95,,Sweden,2.32
96,,Switzerland,4.11
97,,Taiwan,0.90
98,,Tanzania,0.51
99,,Thailand,0.63
100,,Trinidad And Tobago,0.93
101,,Tunisia,0.47
102,,Turkey,0.75
103,,Uganda,0.40
104,,Ukraine,0.48
105,,United Arab Emirates,0.77
106,,United Kingdom,1.62
107,,United States,1.81
108,,Uruguay,1.52
109,,Uzbekistan,0.67
110,,Venezuela,0.90
111,,Vietnam,0.55
112,,Zimbabwe,0.86
