,Rank,City,Potato (1kg)
0,,Albania,0.61
1,,Algeria,0.51
2,,Argentina,0.87
3,,Armenia,0.48
4,,Australia,2.43
5,,Austria,1.67
6,,Azerbaijan,0.49
7,,Bahamas,-
8,,Bahrain,1.05
9,,Bangladesh,0.31
10,,Belarus,0.41
11,,Belgium,1.36
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,0.56
15,,Brazil,0.82
16,,Bulgaria,0.57
17,,Cambodia,1.15
18,,Canada,2.14
19,,Chile,1.17
20,,China,0.89
21,,Colombia,0.75
22,,Costa Rica,1.98
23,,Croatia,0.72
24,,Cyprus,0.61
25,,Czech Republic,0.74
26,,Denmark,1.75
27,,Dominican Republic,1.51
28,,Ecuador,1.00
29,,Egypt,0.36
30,,El Salvador,-
31,,Estonia,0.43
32,,Fiji,-
33,,Finland,1.01
34,,France,1.79
35,,Georgia,0.50
36,,Germany,1.48
37,,Ghana,-
38,,Greece,0.89
39,,Guatemala,1.41
40,,Hong Kong,2.48
41,,Hungary,0.74
42,,Iceland,2.45
43,,India,0.34
44,,Indonesia,1.44
45,,Iran,0.64
46,,Iraq,0.62
47,,Ireland,1.68
48,,Israel,1.16
49,,Italy,1.32
50,,Jamaica,-
51,,Japan,4.14
52,,Jordan,0.97
53,,Kazakhstan,0.47
54,,Kenya,1.43
55,,Kosovo (Disputed Territory),-
56,,Kuwait,1.06
57,,Latvia,0.54
58,,Lebanon,0.97
59,,Lithuania,0.41
60,,Luxembourg,-
61,,Macedonia,0.52
62,,Malaysia,0.76
63,,Malta,1.18
64,,Mauritius,-
65,,Mexico,1.16
66,,Moldova,0.55
67,,Montenegro,0.47
68,,Morocco,0.45
69,,Namibia,-
70,,Nepal,0.38
71,,Netherlands,1.74
72,,New Zealand,2.21
73,,Nigeria,1.06
74,,Norway,2.39
75,,Oman,0.96
76,,Pakistan,0.35
77,,Panama,1.84
78,,Peru,0.80
79,,Philippines,1.64
80,,Poland,0.53
81,,Portugal,0.94
82,,Puerto Rico,2.20
83,,Qatar,0.93
84,,Romania,0.56
85,,Russia,0.51
86,,Saudi Arabia,1.09
87,,Serbia,0.54
88,,Singapore,1.89
89,,Slovakia,0.96
90,,Slovenia,0.89
91,,South Africa,1.32
92,,South Korea,3.89
93,,Spain,1.14
94,,Sri Lanka,1.03
95,,Sweden,1.12
96,,Switzerland,2.90
97,,Taiwan,2.79
98,,Tanzania,0.69
99,,Thailand,1.29
100,,Trinidad And Tobago,1.00
101,,Tunisia,0.45
102,,Turkey,0.72
103,,Uganda,-
104,,Ukraine,0.33
105,,United Arab Emirates,1.02
106,,United Kingdom,1.50
107,,United States,2.55
108,,Uruguay,1.63
109,,Uzbekistan,0.43
110,,Venezuela,1.42
111,,Vietnam,1.04
112,,Zimbabwe,1.93
