,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Albania,1462.92
1,,Algeria,1697.80
2,,Argentina,2375.97
3,,Armenia,841.69
4,,Australia,5943.73
5,,Austria,5694.88
6,,Azerbaijan,1308.00
7,,Bahrain,-
8,,Bangladesh,1186.82
9,,Belarus,1456.63
10,,Belgium,3252.02
11,,Bolivia,1065.41
12,,Bosnia And Herzegovina,1370.48
13,,Brazil,2190.48
14,,Bulgaria,1258.82
15,,Cambodia,-
16,,Canada,4297.70
17,,Chile,2194.42
18,,China,9433.36
19,,Colombia,1595.89
20,,Costa Rica,1458.30
21,,Croatia,2207.82
22,,Cyprus,1934.59
23,,Czech Republic,3643.61
24,,Denmark,5384.36
25,,Dominican Republic,1049.92
26,,Ecuador,1163.64
27,,Egypt,489.68
28,,Estonia,2368.68
29,,Finland,5879.42
30,,France,7669.38
31,,Georgia,1009.64
32,,Germany,5365.39
33,,Greece,1631.39
34,,Guatemala,1806.93
35,,Hong Kong,26587.87
36,,Hungary,2389.30
37,,Iceland,5515.77
38,,India,1803.15
39,,Indonesia,1318.55
40,,Iran,1768.91
41,,Iraq,1255.55
42,,Ireland,4953.40
43,,Israel,10524.02
44,,Italy,4524.06
45,,Jamaica,-
46,,Japan,7994.78
47,,Jordan,1172.04
48,,Kazakhstan,1224.05
49,,Kenya,-
50,,Kosovo (Disputed Territory),1418.12
51,,Kuwait,-
52,,Latvia,1639.84
53,,Lebanon,5053.33
54,,Lithuania,2599.89
55,,Luxembourg,8654.28
56,,Macedonia,1203.99
57,,Malaysia,2141.99
58,,Malta,3371.15
59,,Mauritius,-
60,,Mexico,1194.71
61,,Moldova,875.72
62,,Montenegro,1791.31
63,,Morocco,1610.34
64,,Nepal,-
65,,Netherlands,4767.78
66,,New Zealand,4607.22
67,,Nigeria,-
68,,Norway,8043.99
69,,Oman,-
70,,Pakistan,934.81
71,,Panama,2234.33
72,,Peru,1820.52
73,,Philippines,2140.90
74,,Poland,2257.74
75,,Portugal,2828.30
76,,Puerto Rico,-
77,,Qatar,4263.65
78,,Romania,1525.64
79,,Russia,2125.38
80,,Saudi Arabia,970.14
81,,Serbia,1998.85
82,,Singapore,17463.83
83,,Slovakia,2364.31
84,,Slovenia,2871.70
85,,South Africa,1331.64
86,,South Korea,9839.07
87,,Spain,3378.06
88,,Sri Lanka,-
89,,Sweden,8443.82
90,,Switzerland,11882.57
91,,Taiwan,7065.12
92,,Tanzania,-
93,,Thailand,3444.81
94,,Trinidad And Tobago,-
95,,Tunisia,924.46
96,,Turkey,1576.91
97,,Ukraine,1186.95
98,,United Arab Emirates,3767.35
99,,United Kingdom,6328.68
100,,United States,2547.63
101,,Uruguay,2567.00
102,,Venezuela,-
103,,Vietnam,2280.76
104,,Zimbabwe,-
