,Rank,City,Water (1.5 liter bottle)
0,,Albania,0.45
1,,Algeria,0.27
2,,Argentina,1.38
3,,Armenia,0.61
4,,Australia,1.89
5,,Austria,0.63
6,,Azerbaijan,0.45
7,,Bahrain,0.89
8,,Bangladesh,0.36
9,,Belarus,0.55
10,,Belgium,1.06
11,,Bolivia,0.98
12,,Bosnia And Herzegovina,0.65
13,,Brazil,0.82
14,,Bulgaria,0.53
15,,Cambodia,0.80
16,,Canada,1.74
17,,Chile,1.25
18,,China,0.59
19,,Colombia,1.06
20,,Costa Rica,2.02
21,,Croatia,0.99
22,,Cyprus,0.84
23,,Czech Republic,0.56
24,,Denmark,1.44
25,,Dominican Republic,1.61
26,,Ecuador,1.09
27,,Egypt,0.38
28,,El Salvador,1.01
29,,Estonia,0.77
30,,Finland,1.46
31,,France,0.78
32,,Georgia,0.46
33,,Germany,0.55
34,,Greece,0.97
35,,Guatemala,0.94
36,,Hong Kong,1.58
37,,Hungary,0.38
38,,Iceland,1.96
39,,India,0.42
40,,Indonesia,0.42
41,,Iran,0.39
42,,Iraq,0.60
43,,Ireland,1.47
44,,Israel,1.07
45,,Italy,0.46
46,,Jamaica,-
47,,Japan,1.23
48,,Jordan,0.57
49,,Kazakhstan,0.44
50,,Kenya,0.76
51,,Kosovo (Disputed Territory),0.38
52,,Kuwait,0.59
53,,Latvia,0.75
54,,Lebanon,0.75
55,,Lithuania,0.73
56,,Luxembourg,0.88
57,,Macedonia,0.40
58,,Malaysia,0.61
59,,Malta,0.80
60,,Mauritius,0.70
61,,Mexico,0.75
62,,Moldova,0.56
63,,Montenegro,0.55
64,,Morocco,0.63
65,,Nepal,0.32
66,,Netherlands,1.04
67,,New Zealand,1.54
68,,Nigeria,0.73
69,,Norway,2.41
70,,Oman,0.55
71,,Pakistan,0.50
72,,Panama,1.27
73,,Peru,0.78
74,,Philippines,0.73
75,,Poland,0.49
76,,Portugal,0.57
77,,Puerto Rico,1.63
78,,Qatar,0.49
79,,Romania,0.60
80,,Russia,0.58
81,,Saudi Arabia,0.53
82,,Serbia,0.44
83,,Singapore,1.31
84,,Slovakia,0.74
85,,Slovenia,0.65
86,,South Africa,0.96
87,,South Korea,1.01
88,,Spain,0.65
89,,Sri Lanka,0.58
90,,Sweden,1.61
91,,Switzerland,1.27
92,,Taiwan,1.14
93,,Thailand,0.46
94,,Trinidad And Tobago,1.16
95,,Tunisia,0.29
96,,Turkey,0.47
97,,Ukraine,0.41
98,,United Arab Emirates,0.60
99,,United Kingdom,1.36
100,,United States,1.78
101,,Uruguay,1.21
102,,Venezuela,0.80
103,,Vietnam,0.51
104,,Zimbabwe,1.37
