,Rank,City,Imported Beer (0.33 liter bottle)
0,,Argentina,2.36
1,,Australia,4.67
2,,Austria,1.39
3,,Bangladesh,1.65
4,,Belgium,2.63
5,,Bosnia And Herzegovina,1.26
6,,Brazil,3.57
7,,Bulgaria,1.41
8,,Canada,3.34
9,,Chile,1.57
10,,China,2.01
11,,Colombia,2.75
12,,Costa Rica,2.00
13,,Croatia,1.94
14,,Cyprus,1.62
15,,Czech Republic,1.34
16,,Denmark,2.47
17,,Ecuador,3.75
18,,Egypt,1.68
19,,Estonia,1.58
20,,Finland,3.48
21,,France,2.97
22,,Germany,1.45
23,,Greece,2.30
24,,Hong Kong,1.45
25,,Hungary,1.65
26,,Iceland,2.54
27,,India,2.54
28,,Indonesia,2.70
29,,Iran,5.32
30,,Ireland,3.71
31,,Israel,2.62
32,,Italy,2.52
33,,Japan,6.86
34,,Jordan,3.70
35,,Latvia,1.77
36,,Lebanon,1.25
37,,Lithuania,1.44
38,,Macedonia,1.27
39,,Malaysia,3.03
40,,Malta,2.12
41,,Mexico,1.75
42,,Morocco,2.36
43,,Netherlands,1.52
44,,New Zealand,3.79
45,,Norway,5.45
46,,Pakistan,6.80
47,,Panama,1.30
48,,Peru,4.00
49,,Philippines,1.86
50,,Poland,1.43
51,,Portugal,1.58
52,,Puerto Rico,3.36
53,,Qatar,2.83
54,,Romania,1.58
55,,Russia,2.33
56,,Saudi Arabia,0.88
57,,Serbia,1.33
58,,Singapore,4.75
59,,Slovakia,1.53
60,,Slovenia,2.26
61,,South Africa,2.21
62,,South Korea,2.95
63,,Spain,1.77
64,,Sri Lanka,3.15
65,,Sweden,2.34
66,,Switzerland,2.38
67,,Syria,1.50
68,,Taiwan,1.68
69,,Thailand,1.95
70,,Tunisia,1.50
71,,Turkey,2.59
72,,Ukraine,1.56
73,,United Arab Emirates,5.78
74,,United Kingdom,3.39
75,,United States,3.45
76,,Uruguay,2.10
77,,Venezuela,3.25
78,,Vietnam,2.17
