,Rank,City,Oranges (1kg)
0,,Albania,1.27
1,,Algeria,1.14
2,,Argentina,0.90
3,,Armenia,1.35
4,,Australia,2.36
5,,Austria,2.44
6,,Azerbaijan,1.50
7,,Bahrain,1.62
8,,Bangladesh,1.98
9,,Belarus,1.82
10,,Belgium,2.70
11,,Bolivia,1.56
12,,Bosnia And Herzegovina,1.35
13,,Brazil,0.79
14,,Bulgaria,1.42
15,,Cambodia,2.70
16,,Canada,2.88
17,,Chile,1.46
18,,China,1.74
19,,Colombia,0.97
20,,Costa Rica,2.61
21,,Croatia,1.59
22,,Cyprus,1.29
23,,Czech Republic,1.65
24,,Denmark,2.88
25,,Dominican Republic,2.60
26,,Ecuador,1.62
27,,Egypt,0.56
28,,Estonia,1.84
29,,Finland,2.25
30,,France,2.78
31,,Georgia,1.12
32,,Germany,2.47
33,,Ghana,2.29
34,,Greece,1.24
35,,Guatemala,2.40
36,,Hong Kong,3.62
37,,Hungary,1.75
38,,Iceland,3.04
39,,India,0.97
40,,Indonesia,1.97
41,,Iran,1.21
42,,Iraq,1.15
43,,Ireland,2.62
44,,Israel,1.88
45,,Italy,2.10
46,,Japan,5.45
47,,Jordan,1.75
48,,Kazakhstan,1.76
49,,Kenya,1.47
50,,Kosovo (Disputed Territory),0.87
51,,Kuwait,1.52
52,,Latvia,1.73
53,,Lebanon,2.44
54,,Lithuania,1.43
55,,Luxembourg,-
56,,Malaysia,2.07
57,,Malta,2.80
58,,Mauritius,2.26
59,,Mexico,0.99
60,,Moldova,1.33
61,,Montenegro,1.25
62,,Morocco,0.65
63,,Nepal,1.03
64,,Netherlands,1.67
65,,New Zealand,2.46
66,,Nigeria,1.09
67,,North Macedonia,0.99
68,,Norway,3.17
69,,Oman,1.64
70,,Pakistan,0.70
71,,Panama,2.37
72,,Peru,0.97
73,,Philippines,2.60
74,,Poland,1.40
75,,Portugal,1.49
76,,Puerto Rico,4.25
77,,Qatar,1.76
78,,Romania,1.29
79,,Russia,1.45
80,,Saudi Arabia,1.59
81,,Serbia,1.36
82,,Singapore,2.94
83,,Slovakia,1.83
84,,Slovenia,2.09
85,,South Africa,1.27
86,,South Korea,4.75
87,,Spain,1.72
88,,Sri Lanka,2.46
89,,Sweden,2.93
90,,Switzerland,3.45
91,,Syria,-
92,,Taiwan,2.23
93,,Tanzania,1.08
94,,Thailand,1.88
95,,Trinidad And Tobago,-
96,,Tunisia,0.85
97,,Turkey,0.96
98,,Uganda,1.63
99,,Ukraine,1.30
100,,United Arab Emirates,1.79
101,,United Kingdom,2.02
102,,United States,3.83
103,,Uruguay,1.06
104,,Uzbekistan,1.96
105,,Venezuela,1.13
106,,Vietnam,1.70
