,Rank,City,Bottle of Wine (Mid-Range)
0,,Algeria,6.66
1,,Argentina,4.79
2,,Australia,14.90
3,,Austria,6.49
4,,Azerbaijan,10.20
5,,Bahrain,21.62
6,,Bangladesh,19.29
7,,Belarus,6.96
8,,Belgium,7.79
9,,Bosnia And Herzegovina,5.67
10,,Brazil,10.28
11,,Bulgaria,5.33
12,,Canada,14.42
13,,Chile,5.99
14,,China,13.07
15,,Colombia,13.15
16,,Costa Rica,9.98
17,,Croatia,6.06
18,,Cyprus,5.19
19,,Czech Republic,5.07
20,,Denmark,10.45
21,,Dominican Republic,8.01
22,,Ecuador,9.50
23,,Egypt,8.73
24,,Estonia,6.49
25,,Ethiopia,4.17
26,,Finland,12.99
27,,France,7.79
28,,Georgia,5.44
29,,Germany,6.49
30,,Ghana,10.00
31,,Greece,7.79
32,,Hong Kong,15.46
33,,Hungary,4.38
34,,Iceland,18.38
35,,India,8.85
36,,Indonesia,26.83
37,,Iran,40.00
38,,Iraq,10.00
39,,Ireland,12.98
40,,Israel,12.23
41,,Italy,6.49
42,,Jamaica,8.47
43,,Japan,12.44
44,,Jordan,16.90
45,,Kazakhstan,9.96
46,,Kenya,8.37
47,,Kuwait,-
48,,Latvia,7.85
49,,Lebanon,9.50
50,,Lithuania,6.74
51,,Luxembourg,12.34
52,,Macedonia,4.20
53,,Malaysia,16.45
54,,Malta,6.49
55,,Mexico,8.01
56,,Moldova,3.27
57,,Morocco,6.60
58,,Nepal,6.69
59,,Netherlands,6.49
60,,New Zealand,11.00
61,,Nigeria,7.70
62,,Norway,20.44
63,,Oman,-
64,,Pakistan,10.28
65,,Panama,7.50
66,,Peru,11.19
67,,Philippines,6.53
68,,Poland,6.08
69,,Portugal,5.19
70,,Puerto Rico,12.00
71,,Qatar,19.92
72,,Romania,4.45
73,,Russia,9.40
74,,Saudi Arabia,165.20
75,,Serbia,4.27
76,,Singapore,23.81
77,,Slovakia,5.19
78,,Slovenia,6.49
79,,South Africa,4.47
80,,South Korea,16.25
81,,Spain,5.84
82,,Sri Lanka,11.87
83,,Sweden,12.01
84,,Switzerland,10.42
85,,Syria,5.82
86,,Taiwan,10.24
87,,Tanzania,9.58
88,,Thailand,16.85
89,,Trinidad And Tobago,19.02
90,,Tunisia,6.13
91,,Turkey,10.58
92,,Ukraine,5.12
93,,United Arab Emirates,20.44
94,,United Kingdom,9.09
95,,United States,12.00
96,,Uruguay,7.57
97,,Venezuela,20.96
98,,Vietnam,9.05
