,Rank,City,One-way Ticket (Local Transport)
0,,Albania,0.23
1,,Algeria,0.20
2,,Argentina,0.50
3,,Armenia,0.21
4,,Australia,2.89
5,,Austria,2.40
6,,Azerbaijan,0.19
7,,Bahrain,0.66
8,,Bangladesh,0.26
9,,Belarus,0.29
10,,Belgium,2.30
11,,Bosnia And Herzegovina,0.89
12,,Brazil,1.07
13,,Bulgaria,0.56
14,,Cambodia,1.00
15,,Canada,2.39
16,,Chile,1.04
17,,China,0.32
18,,Colombia,0.70
19,,Costa Rica,0.75
20,,Croatia,1.44
21,,Cyprus,1.64
22,,Czech Republic,0.96
23,,Denmark,3.52
24,,Dominican Republic,0.56
25,,Ecuador,0.25
26,,Egypt,0.26
27,,Estonia,1.64
28,,Finland,3.28
29,,France,1.75
30,,Georgia,0.22
31,,Germany,2.95
32,,Greece,1.31
33,,Guatemala,0.16
34,,Hong Kong,1.29
35,,Hungary,1.24
36,,Iceland,2.96
37,,India,0.24
38,,Indonesia,0.30
39,,Iran,0.20
40,,Iraq,0.70
41,,Ireland,2.73
42,,Israel,1.78
43,,Italy,1.64
44,,Jamaica,1.04
45,,Japan,1.68
46,,Jordan,0.71
47,,Kazakhstan,0.43
48,,Kenya,0.52
49,,Kuwait,0.83
50,,Latvia,1.26
51,,Lebanon,1.33
52,,Lithuania,1.09
53,,Luxembourg,2.19
54,,Macedonia,0.62
55,,Malaysia,0.54
56,,Malta,2.19
57,,Mauritius,0.91
58,,Mexico,0.45
59,,Moldova,0.17
60,,Montenegro,0.77
61,,Morocco,0.51
62,,Nepal,0.20
63,,Netherlands,3.06
64,,New Zealand,2.48
65,,Nigeria,0.63
66,,Norway,4.28
67,,Oman,0.52
68,,Pakistan,0.20
69,,Panama,0.35
70,,Peru,0.48
71,,Philippines,0.18
72,,Poland,0.90
73,,Portugal,1.53
74,,Puerto Rico,1.50
75,,Qatar,1.37
76,,Romania,0.49
77,,Russia,0.47
78,,Saudi Arabia,0.53
79,,Serbia,0.81
80,,Singapore,1.33
81,,Slovakia,0.77
82,,Slovenia,1.31
83,,South Africa,1.07
84,,South Korea,1.12
85,,Spain,1.64
86,,Sri Lanka,0.22
87,,Sweden,3.04
88,,Switzerland,3.38
89,,Taiwan,0.65
90,,Tanzania,0.26
91,,Thailand,0.59
92,,Trinidad And Tobago,0.79
93,,Tunisia,0.28
94,,Turkey,0.80
95,,Ukraine,0.19
96,,United Arab Emirates,1.36
97,,United Kingdom,3.50
98,,United States,2.25
99,,Uruguay,0.93
100,,Venezuela,1.00
101,,Vietnam,0.28
102,,Zimbabwe,0.50
