,Rank,City,Imported Beer (0.33 liter bottle)
0,,Argentina,2.75
1,,Australia,5.93
2,,Austria,3.70
3,,Belgium,3.70
4,,Bosnia And Herzegovina,1.85
5,,Brazil,2.97
6,,Bulgaria,1.73
7,,Canada,4.81
8,,Chile,2.50
9,,China,2.93
10,,Colombia,2.17
11,,Croatia,2.41
12,,Czech Republic,1.70
13,,Denmark,7.44
14,,Ecuador,2.25
15,,Egypt,3.10
16,,Estonia,3.16
17,,Finland,6.79
18,,France,4.94
19,,Germany,3.70
20,,Greece,5.56
21,,Hong Kong,1.28
22,,Hungary,1.83
23,,India,2.37
24,,Indonesia,3.80
25,,Iran,1.81
26,,Ireland,6.17
27,,Israel,6.25
28,,Italy,3.70
29,,Japan,5.48
30,,Jordan,3.75
31,,Kazakhstan,1.00
32,,Lithuania,1.07
33,,Malaysia,2.91
34,,Malta,2.47
35,,Mexico,1.93
36,,Morocco,5.69
37,,Netherlands,3.70
38,,New Zealand,4.76
39,,Norway,7.34
40,,Pakistan,4.70
41,,Panama,1.50
42,,Philippines,1.19
43,,Poland,2.12
44,,Portugal,2.47
45,,Puerto Rico,2.88
46,,Qatar,6.80
47,,Romania,1.73
48,,Russia,4.05
49,,Saudi Arabia,0.77
50,,Serbia,1.48
51,,Singapore,6.43
52,,Slovakia,1.60
53,,Slovenia,3.46
54,,South Africa,1.96
55,,South Korea,2.89
56,,Spain,2.84
57,,Sweden,7.03
58,,Switzerland,4.31
59,,Syria,2.89
60,,Taiwan,1.50
61,,Thailand,2.16
62,,Turkey,3.18
63,,Ukraine,3.00
64,,United Arab Emirates,8.50
65,,United Kingdom,4.28
66,,United States,4.00
67,,Vietnam,1.40
