,Rank,City,Domestic Beer (0.5 liter draught)
0,,Algeria,1.71
1,,Argentina,2.17
2,,Australia,6.25
3,,Austria,4.29
4,,Azerbaijan,2.61
5,,Bahrain,5.41
6,,Bangladesh,2.16
7,,Belarus,1.30
8,,Belgium,3.90
9,,Bosnia And Herzegovina,1.81
10,,Brazil,2.10
11,,Bulgaria,1.33
12,,Canada,4.81
13,,Chile,1.85
14,,China,1.31
15,,Colombia,1.32
16,,Costa Rica,2.03
17,,Croatia,2.25
18,,Cyprus,3.90
19,,Czech Republic,1.42
20,,Denmark,6.53
21,,Dominican Republic,1.85
22,,Ecuador,1.00
23,,Egypt,1.75
24,,Estonia,2.60
25,,Ethiopia,1.00
26,,Finland,6.49
27,,France,6.49
28,,Georgia,1.20
29,,Germany,3.90
30,,Ghana,2.03
31,,Greece,4.55
32,,Hong Kong,3.22
33,,Hungary,1.55
34,,Iceland,6.96
35,,India,1.59
36,,Indonesia,2.35
37,,Iran,7.86
38,,Iraq,2.00
39,,Ireland,5.45
40,,Israel,6.79
41,,Italy,5.19
42,,Jamaica,2.05
43,,Japan,3.78
44,,Jordan,4.40
45,,Kazakhstan,1.68
46,,Kenya,2.15
47,,Kuwait,-
48,,Latvia,1.67
49,,Lebanon,2.50
50,,Lithuania,2.26
51,,Luxembourg,3.90
52,,Macedonia,1.47
53,,Malaysia,3.29
54,,Malta,2.92
55,,Mexico,1.56
56,,Moldova,1.22
57,,Morocco,3.00
58,,Nepal,2.23
59,,Netherlands,5.19
60,,New Zealand,5.60
61,,Nigeria,1.67
62,,Norway,12.22
63,,Oman,-
64,,Pakistan,3.08
65,,Panama,2.00
66,,Peru,1.87
67,,Philippines,0.95
68,,Poland,1.82
69,,Portugal,1.95
70,,Puerto Rico,1.50
71,,Qatar,10.99
72,,Romania,1.48
73,,Russia,1.57
74,,Saudi Arabia,0.80
75,,Serbia,1.68
76,,Singapore,4.76
77,,Slovakia,1.56
78,,Slovenia,2.86
79,,South Africa,1.59
80,,South Korea,2.71
81,,Spain,2.60
82,,Sri Lanka,1.42
83,,Sweden,7.78
84,,Switzerland,6.25
85,,Syria,1.41
86,,Taiwan,1.71
87,,Tanzania,1.25
88,,Thailand,2.02
89,,Trinidad And Tobago,1.58
90,,Tunisia,1.25
91,,Turkey,3.70
92,,Ukraine,1.12
93,,United Arab Emirates,8.17
94,,United Kingdom,4.55
95,,United States,3.50
96,,Uruguay,2.79
97,,Venezuela,2.20
98,,Vietnam,0.95
