,Rank,City,Eggs (regular) (12)
0,,Argentina,1.51
1,,Australia,3.71
2,,Austria,3.11
3,,Belgium,2.94
4,,Bosnia And Herzegovina,2.72
5,,Brazil,1.73
6,,Bulgaria,1.49
7,,Canada,2.59
8,,Chile,1.75
9,,China,1.35
10,,Colombia,1.77
11,,Croatia,2.21
12,,Czech Republic,1.46
13,,Denmark,2.73
14,,Ecuador,2.00
15,,Egypt,1.46
16,,Estonia,1.46
17,,Finland,3.46
18,,France,3.40
19,,Germany,2.45
20,,Greece,4.44
21,,Hong Kong,2.07
22,,Hungary,1.80
23,,India,0.79
24,,Indonesia,1.51
25,,Iran,1.74
26,,Ireland,3.95
27,,Israel,3.13
28,,Italy,3.10
29,,Japan,2.25
30,,Jordan,1.10
31,,Kazakhstan,1.76
32,,Lithuania,1.49
33,,Malaysia,1.28
34,,Malta,1.91
35,,Mexico,1.86
36,,Morocco,1.50
37,,Netherlands,1.64
38,,New Zealand,2.51
39,,Norway,3.90
40,,Pakistan,0.85
41,,Panama,1.98
42,,Philippines,1.34
43,,Poland,1.60
44,,Portugal,2.22
45,,Puerto Rico,2.29
46,,Qatar,2.91
47,,Romania,1.85
48,,Russia,1.46
49,,Saudi Arabia,2.41
50,,Serbia,1.32
51,,Singapore,1.86
52,,Slovakia,1.73
53,,Slovenia,2.16
54,,South Africa,2.05
55,,South Korea,2.00
56,,Spain,1.93
57,,Sweden,2.59
58,,Switzerland,4.56
59,,Syria,1.50
60,,Taiwan,1.85
61,,Thailand,1.67
62,,Turkey,1.47
63,,Ukraine,1.08
64,,United Arab Emirates,2.14
65,,United Kingdom,3.05
66,,United States,1.99
67,,Vietnam,1.17
