,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Algeria,63.43
1,,Argentina,63.20
2,,Australia,70.36
3,,Austria,43.29
4,,Azerbaijan,71.38
5,,Bahrain,55.78
6,,Bangladesh,26.32
7,,Belarus,58.99
8,,Belgium,59.34
9,,Bosnia And Herzegovina,35.11
10,,Brazil,70.17
11,,Bulgaria,37.71
12,,Canada,43.18
13,,Chile,49.98
14,,China,53.38
15,,Colombia,54.71
16,,Costa Rica,55.26
17,,Croatia,42.56
18,,Cyprus,43.42
19,,Czech Republic,41.09
20,,Denmark,51.36
21,,Dominican Republic,53.22
22,,Ecuador,49.60
23,,Egypt,50.20
24,,Estonia,-
25,,Ethiopia,-
26,,Finland,40.24
27,,France,47.01
28,,Georgia,50.77
29,,Germany,44.39
30,,Ghana,29.00
31,,Greece,43.39
32,,Hong Kong,47.86
33,,Hungary,40.19
34,,Iceland,109.17
35,,India,34.99
36,,Indonesia,43.37
37,,Iran,49.48
38,,Iraq,27.50
39,,Ireland,48.51
40,,Israel,63.20
41,,Italy,50.24
42,,Jamaica,43.63
43,,Japan,54.74
44,,Jordan,83.10
45,,Kazakhstan,72.48
46,,Kenya,-
47,,Kuwait,80.46
48,,Latvia,49.89
49,,Lebanon,50.57
50,,Lithuania,65.26
51,,Luxembourg,67.10
52,,Macedonia,41.72
53,,Malaysia,50.20
54,,Malta,-
55,,Mexico,49.18
56,,Moldova,50.79
57,,Morocco,62.42
58,,Nepal,27.52
59,,Netherlands,49.80
60,,New Zealand,56.95
61,,Nigeria,58.80
62,,Norway,73.56
63,,Oman,-
64,,Pakistan,33.53
65,,Panama,-
66,,Peru,48.51
67,,Philippines,35.88
68,,Poland,41.01
69,,Portugal,39.27
70,,Puerto Rico,43.64
71,,Qatar,65.54
72,,Romania,46.81
73,,Russia,70.54
74,,Saudi Arabia,60.14
75,,Serbia,43.47
76,,Singapore,50.83
77,,Slovakia,47.62
78,,Slovenia,36.80
79,,South Africa,37.77
80,,South Korea,44.43
81,,Spain,38.46
82,,Sri Lanka,26.71
83,,Sweden,45.92
84,,Switzerland,60.68
85,,Syria,59.67
86,,Taiwan,57.36
87,,Tanzania,36.77
88,,Thailand,43.80
89,,Trinidad And Tobago,46.88
90,,Tunisia,55.62
91,,Turkey,41.01
92,,Ukraine,55.52
93,,United Arab Emirates,49.85
94,,United Kingdom,45.37
95,,United States,34.46
96,,Uruguay,90.64
97,,Venezuela,140.09
98,,Vietnam,29.38
