,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Albania,31.78
1,,Algeria,18.61
2,,Argentina,29.08
3,,Armenia,50.18
4,,Australia,46.25
5,,Austria,35.47
6,,Azerbaijan,33.13
7,,Bahrain,69.94
8,,Bangladesh,22.08
9,,Belarus,34.98
10,,Belgium,27.51
11,,Bolivia,44.52
12,,Bosnia And Herzegovina,26.11
13,,Brazil,26.14
14,,Brunei,47.71
15,,Bulgaria,26.09
16,,Cambodia,50.56
17,,Canada,37.37
18,,Chile,33.48
19,,China,36.20
20,,Colombia,24.18
21,,Costa Rica,49.39
22,,Croatia,38.54
23,,Cyprus,59.62
24,,Czech Republic,35.73
25,,Denmark,37.26
26,,Dominican Republic,25.48
27,,Ecuador,43.48
28,,Egypt,26.07
29,,El Salvador,34.09
30,,Estonia,49.41
31,,Ethiopia,37.58
32,,Finland,40.65
33,,France,40.76
34,,Georgia,35.48
35,,Germany,33.59
36,,Greece,34.11
37,,Guatemala,55.54
38,,Honduras,40.34
39,,Hong Kong,76.72
40,,Hungary,40.35
41,,Iceland,62.36
42,,India,21.11
43,,Indonesia,34.60
44,,Iran,25.72
45,,Iraq,42.12
46,,Ireland,44.21
47,,Israel,70.62
48,,Italy,54.78
49,,Jamaica,52.56
50,,Japan,82.25
51,,Jordan,58.62
52,,Kazakhstan,41.68
53,,Kenya,50.23
54,,Kosovo (Disputed Territory),13.74
55,,Kuwait,115.81
56,,Latvia,38.41
57,,Lebanon,72.28
58,,Lithuania,31.32
59,,Luxembourg,43.54
60,,Macedonia,21.78
61,,Malaysia,37.76
62,,Malta,63.66
63,,Mauritius,35.26
64,,Mexico,32.67
65,,Moldova,30.93
66,,Montenegro,34.51
67,,Morocco,22.81
68,,Namibia,34.36
69,,Nepal,27.71
70,,Netherlands,33.75
71,,New Zealand,36.20
72,,Nigeria,35.16
73,,Norway,47.53
74,,Oman,65.37
75,,Pakistan,17.77
76,,Palestinian Territory,50.99
77,,Panama,44.27
78,,Peru,46.01
79,,Philippines,41.30
80,,Poland,26.64
81,,Portugal,36.49
82,,Puerto Rico,29.80
83,,Qatar,105.47
84,,Romania,33.73
85,,Russia,33.72
86,,Saudi Arabia,83.97
87,,Serbia,26.16
88,,Singapore,99.40
89,,Slovakia,30.41
90,,Slovenia,44.39
91,,South Africa,35.85
92,,South Korea,57.84
93,,Spain,41.30
94,,Sri Lanka,16.13
95,,Sweden,37.47
96,,Switzerland,80.22
97,,Taiwan,41.61
98,,Thailand,57.62
99,,Trinidad And Tobago,46.39
100,,Tunisia,22.34
101,,Turkey,25.35
102,,Uganda,52.00
103,,Ukraine,18.07
104,,United Arab Emirates,77.00
105,,United Kingdom,37.79
106,,United States,37.66
107,,Uruguay,44.68
108,,Uzbekistan,33.11
109,,Venezuela,19.08
110,,Vietnam,24.17
