,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Albania,22.78
1,,Algeria,12.52
2,,Argentina,26.85
3,,Armenia,24.98
4,,Australia,55.54
5,,Austria,55.97
6,,Azerbaijan,27.90
7,,Bahrain,39.79
8,,Bangladesh,7.70
9,,Belarus,29.54
10,,Belgium,67.16
11,,Bolivia,18.68
12,,Bosnia And Herzegovina,25.64
13,,Brazil,25.48
14,,Brunei,29.12
15,,Bulgaria,28.27
16,,Cambodia,20.00
17,,Canada,51.74
18,,Chile,42.27
19,,China,21.72
20,,Colombia,17.91
21,,Costa Rica,42.59
22,,Croatia,37.61
23,,Cyprus,50.37
24,,Czech Republic,28.09
25,,Denmark,89.74
26,,Dominican Republic,37.74
27,,Ecuador,25.00
28,,Egypt,17.96
29,,El Salvador,-
30,,Estonia,50.37
31,,Ethiopia,17.50
32,,Finland,72.76
33,,France,55.97
34,,Georgia,21.54
35,,Germany,55.97
36,,Greece,39.18
37,,Guatemala,30.15
38,,Honduras,25.00
39,,Hong Kong,51.03
40,,Hungary,34.37
41,,Iceland,121.29
42,,India,11.50
43,,Indonesia,13.96
44,,Iran,18.72
45,,Iraq,25.12
46,,Ireland,67.16
47,,Israel,68.91
48,,Italy,55.97
49,,Jamaica,40.00
50,,Japan,46.18
51,,Jordan,35.26
52,,Kazakhstan,26.12
53,,Kenya,29.61
54,,Kosovo (Disputed Territory),19.59
55,,Kuwait,32.86
56,,Latvia,42.54
57,,Lebanon,59.63
58,,Lithuania,33.58
59,,Luxembourg,78.35
60,,Macedonia,16.27
61,,Malaysia,14.32
62,,Malta,67.16
63,,Mauritius,46.94
64,,Mexico,25.49
65,,Moldova,22.79
66,,Montenegro,25.74
67,,Morocco,17.50
68,,Namibia,-
69,,Nepal,13.42
70,,Netherlands,67.16
71,,New Zealand,58.81
72,,Nigeria,22.22
73,,Norway,91.37
74,,Oman,31.18
75,,Pakistan,10.21
76,,Palestinian Territory,27.56
77,,Panama,40.00
78,,Peru,23.72
79,,Philippines,15.75
80,,Poland,28.69
81,,Portugal,33.58
82,,Puerto Rico,65.00
83,,Qatar,54.93
84,,Romania,25.88
85,,Russia,30.55
86,,Saudi Arabia,26.66
87,,Serbia,23.68
88,,Singapore,43.67
89,,Slovakia,33.58
90,,Slovenia,39.18
91,,South Africa,34.28
92,,South Korea,33.64
93,,Spain,44.77
94,,Sri Lanka,15.58
95,,Sweden,72.65
96,,Switzerland,99.96
97,,Taiwan,22.20
98,,Thailand,22.25
99,,Trinidad And Tobago,59.04
100,,Tunisia,13.35
101,,Turkey,17.12
102,,Uganda,13.47
103,,Ukraine,19.48
104,,United Arab Emirates,54.46
105,,United Kingdom,63.20
106,,United States,50.00
107,,Uruguay,36.88
108,,Uzbekistan,15.00
109,,Venezuela,25.00
110,,Vietnam,17.17
