,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Albania,35.12
1,,Algeria,43.82
2,,Argentina,54.97
3,,Armenia,38.26
4,,Australia,47.19
5,,Austria,40.02
6,,Azerbaijan,40.78
7,,Bahamas,37.20
8,,Bahrain,53.44
9,,Bangladesh,28.73
10,,Belarus,41.40
11,,Belgium,41.47
12,,Belize,43.60
13,,Bolivia,46.41
14,,Bosnia And Herzegovina,34.19
15,,Brazil,42.00
16,,Bulgaria,29.12
17,,Cambodia,25.71
18,,Canada,33.94
19,,Chile,35.09
20,,China,39.27
21,,Colombia,39.41
22,,Costa Rica,44.81
23,,Croatia,36.58
24,,Cyprus,43.31
25,,Czech Republic,36.77
26,,Denmark,43.98
27,,Dominican Republic,51.03
28,,Ecuador,56.05
29,,Egypt,43.31
30,,El Salvador,36.88
31,,Estonia,31.24
32,,Fiji,21.15
33,,Finland,40.14
34,,France,38.68
35,,Georgia,30.65
36,,Germany,36.44
37,,Ghana,-
38,,Greece,34.22
39,,Guatemala,44.21
40,,Hong Kong,37.54
41,,Hungary,31.70
42,,Iceland,63.65
43,,India,35.53
44,,Indonesia,27.57
45,,Iran,38.35
46,,Iraq,25.06
47,,Ireland,39.94
48,,Israel,53.60
49,,Italy,35.44
50,,Jamaica,40.52
51,,Japan,38.18
52,,Jordan,69.35
53,,Kazakhstan,39.08
54,,Kenya,32.83
55,,Kosovo (Disputed Territory),23.94
56,,Kuwait,44.65
57,,Latvia,34.16
58,,Lebanon,48.44
59,,Lithuania,40.06
60,,Luxembourg,46.55
61,,Macedonia,34.18
62,,Malaysia,28.71
63,,Malta,37.90
64,,Mauritius,49.57
65,,Mexico,29.29
66,,Moldova,40.89
67,,Montenegro,38.32
68,,Morocco,38.93
69,,Namibia,46.90
70,,Nepal,33.11
71,,Netherlands,38.26
72,,New Zealand,40.74
73,,Nigeria,26.41
74,,Norway,47.08
75,,Oman,47.49
76,,Pakistan,32.20
77,,Panama,37.31
78,,Peru,30.09
79,,Philippines,24.77
80,,Poland,33.32
81,,Portugal,32.08
82,,Puerto Rico,40.45
83,,Qatar,51.69
84,,Romania,34.45
85,,Russia,42.10
86,,Saudi Arabia,52.34
87,,Serbia,31.10
88,,Singapore,37.39
89,,Slovakia,34.24
90,,Slovenia,34.15
91,,South Africa,36.52
92,,South Korea,46.31
93,,Spain,33.07
94,,Sri Lanka,21.56
95,,Sweden,39.24
96,,Switzerland,50.85
97,,Taiwan,37.26
98,,Tanzania,27.39
99,,Thailand,32.68
100,,Trinidad And Tobago,44.04
101,,Tunisia,42.09
102,,Turkey,26.61
103,,Uganda,21.74
104,,Ukraine,40.96
105,,United Arab Emirates,45.36
106,,United Kingdom,38.21
107,,United States,35.73
108,,Uruguay,47.90
109,,Uzbekistan,44.20
110,,Venezuela,42.35
111,,Vietnam,30.70
112,,Zimbabwe,34.78
