,Rank,City,Taxi 1km (Normal Tariff)
0,,Albania,2.09
1,,Algeria,0.40
2,,Argentina,0.51
3,,Armenia,0.21
4,,Australia,1.49
5,,Austria,1.93
6,,Azerbaijan,0.35
7,,Bahrain,-
8,,Bangladesh,0.41
9,,Belarus,0.29
10,,Belgium,2.24
11,,Bolivia,1.45
12,,Bosnia And Herzegovina,0.68
13,,Brazil,0.75
14,,Brunei,-
15,,Bulgaria,0.46
16,,Cambodia,0.75
17,,Canada,1.33
18,,Chile,1.41
19,,China,0.35
20,,Colombia,1.64
21,,Costa Rica,1.06
22,,Croatia,0.90
23,,Cyprus,1.12
24,,Czech Republic,1.21
25,,Denmark,2.09
26,,Dominican Republic,1.89
27,,Ecuador,1.50
28,,Egypt,0.18
29,,El Salvador,3.00
30,,Estonia,0.67
31,,Ethiopia,-
32,,Finland,1.28
33,,France,1.68
34,,Georgia,0.29
35,,Germany,2.24
36,,Greece,0.84
37,,Guatemala,-
38,,Honduras,1.79
39,,Hong Kong,1.08
40,,Hungary,1.03
41,,Iceland,2.83
42,,India,0.22
43,,Indonesia,0.35
44,,Iran,0.24
45,,Iraq,2.50
46,,Ireland,1.68
47,,Israel,1.38
48,,Italy,1.53
49,,Jamaica,3.69
50,,Japan,3.97
51,,Jordan,0.49
52,,Kazakhstan,0.31
53,,Kenya,1.97
54,,Kosovo (Disputed Territory),0.56
55,,Kuwait,2.87
56,,Latvia,0.72
57,,Lebanon,2.00
58,,Lithuania,0.67
59,,Luxembourg,-
60,,Macedonia,0.45
61,,Malaysia,0.48
62,,Malta,2.52
63,,Mauritius,-
64,,Mexico,0.50
65,,Moldova,0.19
66,,Montenegro,0.56
67,,Morocco,0.72
68,,Namibia,0.82
69,,Nepal,0.75
70,,Netherlands,2.63
71,,New Zealand,1.90
72,,Nigeria,0.97
73,,Norway,1.71
74,,Oman,0.52
75,,Pakistan,0.20
76,,Palestinian Territory,-
77,,Panama,2.00
78,,Peru,1.48
79,,Philippines,0.26
80,,Poland,0.63
81,,Portugal,0.53
82,,Puerto Rico,-
83,,Qatar,0.52
84,,Romania,0.47
85,,Russia,0.23
86,,Saudi Arabia,1.33
87,,Serbia,0.62
88,,Singapore,0.40
89,,Slovakia,1.12
90,,Slovenia,1.01
91,,South Africa,0.69
92,,South Korea,0.67
93,,Spain,1.23
94,,Sri Lanka,0.28
95,,Sweden,1.68
96,,Switzerland,4.10
97,,Taiwan,0.79
98,,Thailand,0.32
99,,Trinidad And Tobago,0.74
100,,Tunisia,0.26
101,,Turkey,0.53
102,,Uganda,-
103,,Ukraine,0.26
104,,United Arab Emirates,0.54
105,,United Kingdom,2.36
106,,United States,1.73
107,,Uruguay,0.71
108,,Uzbekistan,0.17
109,,Venezuela,1.05
110,,Vietnam,0.51
