,Rank,City,Imported Beer (0.33 liter bottle)
0,,Algeria,2.46
1,,Argentina,2.82
2,,Australia,5.06
3,,Austria,1.42
4,,Azerbaijan,3.06
5,,Bahrain,-
6,,Bangladesh,5.27
7,,Belarus,2.01
8,,Belgium,1.66
9,,Bosnia And Herzegovina,1.07
10,,Brazil,3.11
11,,Bulgaria,1.24
12,,Canada,2.62
13,,Chile,2.25
14,,China,2.22
15,,Colombia,2.06
16,,Costa Rica,2.53
17,,Croatia,1.54
18,,Cyprus,1.80
19,,Czech Republic,1.28
20,,Denmark,2.91
21,,Dominican Republic,2.44
22,,Ecuador,2.77
23,,Egypt,1.82
24,,Estonia,1.43
25,,Ethiopia,2.42
26,,Finland,3.40
27,,France,2.00
28,,Georgia,1.47
29,,Germany,1.29
30,,Ghana,3.03
31,,Greece,2.04
32,,Hong Kong,1.70
33,,Hungary,1.26
34,,Iceland,2.29
35,,India,2.23
36,,Indonesia,3.32
37,,Iran,6.42
38,,Iraq,1.48
39,,Ireland,2.99
40,,Israel,3.39
41,,Italy,1.83
42,,Jamaica,4.36
43,,Japan,3.14
44,,Jordan,4.46
45,,Kazakhstan,1.59
46,,Kenya,2.45
47,,Kuwait,-
48,,Latvia,1.59
49,,Lebanon,1.77
50,,Lithuania,1.23
51,,Luxembourg,2.16
52,,Macedonia,1.16
53,,Malaysia,3.46
54,,Malta,-
55,,Mexico,1.91
56,,Moldova,1.55
57,,Morocco,2.21
58,,Nepal,3.08
59,,Netherlands,1.53
60,,New Zealand,2.43
61,,Nigeria,2.10
62,,Norway,5.11
63,,Oman,-
64,,Pakistan,5.67
65,,Panama,1.30
66,,Peru,2.46
67,,Philippines,1.81
68,,Poland,1.26
69,,Portugal,1.57
70,,Puerto Rico,2.98
71,,Qatar,7.78
72,,Romania,1.41
73,,Russia,2.48
74,,Saudi Arabia,1.13
75,,Serbia,1.06
76,,Singapore,4.59
77,,Slovakia,1.49
78,,Slovenia,1.91
79,,South Africa,1.71
80,,South Korea,3.85
81,,Spain,1.54
82,,Sri Lanka,2.41
83,,Sweden,2.27
84,,Switzerland,2.18
85,,Syria,2.27
86,,Taiwan,1.85
87,,Tanzania,1.79
88,,Thailand,2.53
89,,Trinidad And Tobago,2.22
90,,Tunisia,1.31
91,,Turkey,3.09
92,,Ukraine,1.71
93,,United Arab Emirates,5.78
94,,United Kingdom,2.10
95,,United States,2.33
96,,Uruguay,2.64
97,,Venezuela,5.46
98,,Vietnam,1.02
