,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Albania,1718.54
1,,Algeria,1325.67
2,,Argentina,2634.49
3,,Armenia,1839.98
4,,Australia,5905.49
5,,Austria,5377.22
6,,Azerbaijan,1626.07
7,,Bahrain,-
8,,Bangladesh,1131.10
9,,Belarus,1812.63
10,,Belgium,3467.29
11,,Bolivia,1143.84
12,,Bosnia And Herzegovina,1530.85
13,,Brazil,1424.92
14,,Bulgaria,1583.20
15,,Cambodia,-
16,,Canada,5369.52
17,,Chile,2364.73
18,,China,9509.90
19,,Colombia,1491.81
20,,Costa Rica,1788.43
21,,Croatia,3053.04
22,,Cyprus,1851.73
23,,Czech Republic,4925.58
24,,Denmark,5800.06
25,,Dominican Republic,1115.49
26,,Ecuador,1429.41
27,,Egypt,905.00
28,,Estonia,2974.76
29,,Finland,7918.47
30,,France,10046.68
31,,Georgia,1290.36
32,,Germany,6922.83
33,,Ghana,-
34,,Greece,1886.58
35,,Guatemala,1520.59
36,,Hong Kong,31943.31
37,,Hungary,2974.07
38,,Iceland,3743.85
39,,India,1608.45
40,,Indonesia,2101.55
41,,Iran,3237.81
42,,Iraq,1424.37
43,,Ireland,5446.11
44,,Israel,10250.87
45,,Italy,4667.98
46,,Japan,9056.98
47,,Jordan,1366.36
48,,Kazakhstan,1005.93
49,,Kenya,-
50,,Kosovo (Disputed Territory),1159.76
51,,Kuwait,-
52,,Latvia,2188.74
53,,Lebanon,3918.55
54,,Lithuania,2937.73
55,,Luxembourg,13113.02
56,,Malaysia,2145.28
57,,Malta,2634.98
58,,Mauritius,-
59,,Mexico,1351.21
60,,Moldova,1044.82
61,,Montenegro,1918.42
62,,Morocco,1466.61
63,,Nepal,1578.18
64,,Netherlands,5291.15
65,,New Zealand,5026.67
66,,Nigeria,-
67,,North Macedonia,1226.65
68,,Norway,7113.43
69,,Oman,1805.19
70,,Pakistan,729.72
71,,Panama,2229.54
72,,Peru,2097.82
73,,Philippines,2957.40
74,,Poland,3257.48
75,,Portugal,3492.21
76,,Puerto Rico,1391.24
77,,Qatar,3897.80
78,,Romania,1780.91
79,,Russia,2349.76
80,,Saudi Arabia,983.80
81,,Serbia,2517.41
82,,Singapore,17586.96
83,,Slovakia,2998.24
84,,Slovenia,3774.19
85,,South Africa,1072.71
86,,South Korea,15349.37
87,,Spain,3944.25
88,,Sri Lanka,2584.50
89,,Sweden,7103.62
90,,Switzerland,12610.87
91,,Syria,-
92,,Taiwan,9486.28
93,,Tanzania,-
94,,Thailand,4841.36
95,,Trinidad And Tobago,-
96,,Tunisia,806.63
97,,Turkey,999.51
98,,Uganda,-
99,,Ukraine,1168.11
100,,United Arab Emirates,3263.53
101,,United Kingdom,6328.28
102,,United States,4631.81
103,,Uruguay,2593.28
104,,Uzbekistan,950.00
105,,Venezuela,789.58
106,,Vietnam,2326.49
