,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Albania,17.11
1,,Algeria,39.60
2,,Argentina,37.14
3,,Armenia,14.08
4,,Australia,51.51
5,,Austria,23.98
6,,Azerbaijan,14.17
7,,Bahrain,33.01
8,,Bangladesh,38.23
9,,Belarus,9.50
10,,Belgium,45.03
11,,Bolivia,76.51
12,,Bosnia And Herzegovina,15.00
13,,Brazil,24.27
14,,Bulgaria,8.91
15,,Cambodia,27.83
16,,Canada,46.68
17,,Chile,34.62
18,,China,16.10
19,,Colombia,25.79
20,,Costa Rica,47.88
21,,Croatia,24.07
22,,Cyprus,34.11
23,,Czech Republic,16.18
24,,Denmark,28.45
25,,Dominican Republic,48.95
26,,Ecuador,34.02
27,,Egypt,45.98
28,,El Salvador,44.67
29,,Estonia,17.45
30,,Finland,21.25
31,,France,30.15
32,,Georgia,12.59
33,,Germany,27.55
34,,Greece,23.48
35,,Guatemala,53.05
36,,Hong Kong,28.07
37,,Hungary,14.77
38,,Iceland,54.60
39,,India,18.37
40,,Indonesia,26.62
41,,Iran,83.00
42,,Iraq,42.94
43,,Ireland,47.73
44,,Israel,21.45
45,,Italy,30.42
46,,Jamaica,32.82
47,,Japan,37.92
48,,Jordan,41.72
49,,Kazakhstan,12.62
50,,Kenya,42.06
51,,Kosovo (Disputed Territory),10.52
52,,Kuwait,38.18
53,,Latvia,13.53
54,,Lebanon,57.88
55,,Lithuania,10.78
56,,Luxembourg,43.06
57,,Macedonia,11.93
58,,Malaysia,39.42
59,,Malta,25.91
60,,Mauritius,32.95
61,,Mexico,21.73
62,,Moldova,7.77
63,,Montenegro,24.12
64,,Morocco,24.32
65,,Nepal,26.01
66,,Netherlands,30.87
67,,New Zealand,59.41
68,,Nigeria,71.95
69,,Norway,42.23
70,,Oman,60.42
71,,Pakistan,31.99
72,,Panama,37.52
73,,Peru,46.60
74,,Philippines,46.78
75,,Poland,11.66
76,,Portugal,29.27
77,,Puerto Rico,48.25
78,,Qatar,69.87
79,,Romania,7.96
80,,Russia,5.83
81,,Saudi Arabia,41.39
82,,Serbia,14.40
83,,Singapore,31.65
84,,Slovakia,16.02
85,,Slovenia,30.38
86,,South Africa,55.07
87,,South Korea,22.93
88,,Spain,38.60
89,,Sri Lanka,17.20
90,,Sweden,30.01
91,,Switzerland,50.66
92,,Taiwan,24.04
93,,Thailand,17.70
94,,Trinidad And Tobago,31.19
95,,Tunisia,20.78
96,,Turkey,19.53
97,,Ukraine,3.38
98,,United Arab Emirates,88.31
99,,United Kingdom,32.91
100,,United States,52.80
101,,Uruguay,27.34
102,,Venezuela,4.54
103,,Vietnam,11.68
104,,Zimbabwe,79.89
