,Rank,City,"Cinema, International Release, 1 Seat"
0,,Argentina,6.00
1,,Australia,13.56
2,,Austria,9.88
3,,Belgium,10.49
4,,Bosnia And Herzegovina,3.70
5,,Brazil,9.34
6,,Bulgaria,5.51
7,,Canada,11.54
8,,Chile,5.00
9,,China,10.26
10,,Colombia,5.00
11,,Croatia,5.76
12,,Czech Republic,7.71
13,,Denmark,12.41
14,,Ecuador,5.00
15,,Egypt,5.25
16,,Estonia,5.52
17,,Finland,11.11
18,,France,11.11
19,,Germany,11.11
20,,Greece,11.11
21,,Hong Kong,10.27
22,,Hungary,5.81
23,,India,3.51
24,,Indonesia,4.58
25,,Iran,2.25
26,,Ireland,12.22
27,,Israel,10.00
28,,Italy,8.64
29,,Japan,18.71
30,,Jordan,9.78
31,,Kazakhstan,5.00
32,,Lithuania,6.26
33,,Malaysia,3.07
34,,Malta,8.64
35,,Mexico,4.26
36,,Morocco,3.75
37,,Netherlands,10.80
38,,New Zealand,10.20
39,,Norway,15.46
40,,Pakistan,4.00
41,,Panama,3.88
42,,Philippines,3.24
43,,Poland,6.21
44,,Portugal,6.17
45,,Puerto Rico,7.00
46,,Qatar,10.96
47,,Romania,5.88
48,,Russia,8.09
49,,Saudi Arabia,40.00
50,,Serbia,3.70
51,,Singapore,7.14
52,,Slovakia,7.41
53,,Slovenia,6.17
54,,South Africa,4.57
55,,South Korea,6.00
56,,Spain,8.64
57,,Sweden,12.72
58,,Switzerland,14.66
59,,Syria,4.50
60,,Taiwan,10.00
61,,Thailand,3.89
62,,Turkey,6.37
63,,Ukraine,6.50
64,,United Arab Emirates,10.03
65,,United Kingdom,10.14
66,,United States,9.00
67,,Vietnam,6.00
