,Rank,City,Taxi Start (Normal Tariff)
0,,Algeria,0.63
1,,Argentina,1.86
2,,Australia,3.85
3,,Austria,5.01
4,,Azerbaijan,1.27
5,,Bahrain,3.38
6,,Bangladesh,1.31
7,,Belarus,2.51
8,,Belgium,3.90
9,,Bosnia And Herzegovina,1.00
10,,Brazil,1.96
11,,Bulgaria,0.60
12,,Canada,3.46
13,,Chile,0.50
14,,China,1.80
15,,Colombia,1.84
16,,Costa Rica,1.21
17,,Croatia,2.60
18,,Cyprus,4.43
19,,Czech Republic,2.03
20,,Denmark,6.45
21,,Dominican Republic,4.93
22,,Ecuador,1.00
23,,Egypt,0.36
24,,Estonia,3.25
25,,Ethiopia,-
26,,Finland,9.09
27,,France,3.90
28,,Georgia,1.81
29,,Germany,3.90
30,,Ghana,2.06
31,,Greece,3.90
32,,Hong Kong,2.58
33,,Hungary,1.97
34,,Iceland,5.40
35,,India,0.53
36,,Indonesia,0.61
37,,Iran,0.41
38,,Iraq,2.58
39,,Ireland,5.78
40,,Israel,3.34
41,,Italy,6.49
42,,Jamaica,2.05
43,,Japan,6.97
44,,Jordan,0.35
45,,Kazakhstan,2.01
46,,Kenya,5.98
47,,Kuwait,1.72
48,,Latvia,2.77
49,,Lebanon,6.65
50,,Lithuania,0.87
51,,Luxembourg,3.25
52,,Macedonia,0.84
53,,Malaysia,0.99
54,,Malta,-
55,,Mexico,1.56
56,,Moldova,1.63
57,,Morocco,0.84
58,,Nepal,0.25
59,,Netherlands,6.49
60,,New Zealand,2.40
61,,Nigeria,3.21
62,,Norway,11.07
63,,Oman,-
64,,Pakistan,1.03
65,,Panama,-
66,,Peru,1.87
67,,Philippines,0.95
68,,Poland,1.82
69,,Portugal,4.22
70,,Puerto Rico,1.75
71,,Qatar,1.99
72,,Romania,0.53
73,,Russia,4.70
74,,Saudi Arabia,2.67
75,,Serbia,1.73
76,,Singapore,2.54
77,,Slovakia,3.77
78,,Slovenia,1.30
79,,South Africa,1.49
80,,South Korea,2.53
81,,Spain,3.90
82,,Sri Lanka,0.40
83,,Sweden,6.50
84,,Switzerland,6.25
85,,Syria,0.35
86,,Taiwan,2.56
87,,Tanzania,3.13
88,,Thailand,1.18
89,,Trinidad And Tobago,-
90,,Tunisia,0.28
91,,Turkey,1.56
92,,Ukraine,3.01
93,,United Arab Emirates,0.95
94,,United Kingdom,4.24
95,,United States,3.00
96,,Uruguay,2.03
97,,Venezuela,10.00
98,,Vietnam,0.57
