,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Albania,7.88
1,,Argentina,20.33
2,,Australia,6.61
3,,Austria,3.91
4,,Bahrain,8.75
5,,Bangladesh,17.75
6,,Belarus,30.52
7,,Belgium,4.05
8,,Bosnia And Herzegovina,8.33
9,,Brazil,10.43
10,,Bulgaria,8.33
11,,Cambodia,11.00
12,,Canada,3.56
13,,Chile,5.50
14,,China,6.24
15,,Colombia,16.50
16,,Costa Rica,12.08
17,,Croatia,7.25
18,,Cyprus,6.30
19,,Czech Republic,4.23
20,,Denmark,3.68
21,,Dominican Republic,14.67
22,,Ecuador,7.72
23,,Egypt,9.94
24,,Estonia,3.10
25,,Finland,2.36
26,,France,3.87
27,,Georgia,12.67
28,,Germany,3.56
29,,Greece,5.26
30,,Hong Kong,2.66
31,,Hungary,9.56
32,,Iceland,7.00
33,,India,11.25
34,,Indonesia,9.27
35,,Iran,18.60
36,,Iraq,23.50
37,,Ireland,4.47
38,,Israel,4.11
39,,Italy,5.18
40,,Japan,2.00
41,,Jordan,8.32
42,,Kazakhstan,14.42
43,,Kenya,16.12
44,,Kuwait,5.17
45,,Latvia,4.00
46,,Lebanon,5.92
47,,Lithuania,4.83
48,,Luxembourg,2.38
49,,Macedonia,9.79
50,,Malaysia,5.48
51,,Malta,4.39
52,,Mauritius,7.83
53,,Mexico,11.53
54,,Morocco,6.50
55,,Nepal,10.00
56,,Netherlands,4.62
57,,New Zealand,5.85
58,,Nigeria,18.00
59,,Norway,3.68
60,,Oman,7.00
61,,Pakistan,14.79
62,,Peru,12.79
63,,Philippines,10.27
64,,Poland,6.24
65,,Portugal,4.25
66,,Puerto Rico,5.73
67,,Qatar,3.33
68,,Romania,8.15
69,,Russia,12.93
70,,Saudi Arabia,4.33
71,,Serbia,7.58
72,,Singapore,2.50
73,,Slovakia,4.84
74,,Slovenia,6.14
75,,South Africa,9.23
76,,South Korea,4.40
77,,Spain,3.78
78,,Sri Lanka,14.00
79,,Sweden,3.81
80,,Switzerland,2.09
81,,Taiwan,2.83
82,,Tanzania,16.67
83,,Thailand,6.15
84,,Tunisia,7.00
85,,Turkey,12.84
86,,Ukraine,17.94
87,,United Arab Emirates,6.87
88,,United Kingdom,4.52
89,,United States,4.20
90,,Uruguay,10.03
91,,Venezuela,13.25
92,,Vietnam,12.96
