,Rank,City,Average Monthly Net Salary (After Tax)
0,,Albania,358.88
1,,Algeria,276.17
2,,Argentina,626.71
3,,Armenia,320.40
4,,Australia,3157.63
5,,Austria,2127.42
6,,Azerbaijan,320.01
7,,Bahrain,1123.38
8,,Bangladesh,344.23
9,,Belarus,460.78
10,,Belgium,2339.15
11,,Bolivia,520.55
12,,Bosnia And Herzegovina,486.27
13,,Brazil,460.34
14,,Brunei,1907.10
15,,Bulgaria,713.11
16,,Cambodia,271.43
17,,Canada,2527.63
18,,Chile,698.07
19,,China,989.14
20,,Colombia,337.79
21,,Costa Rica,798.52
22,,Croatia,952.86
23,,Cyprus,1241.60
24,,Czech Republic,1178.72
25,,Denmark,3148.55
26,,Dominican Republic,403.14
27,,Ecuador,540.32
28,,Egypt,218.40
29,,El Salvador,363.33
30,,Estonia,1289.61
31,,Ethiopia,132.47
32,,Finland,2623.41
33,,France,2228.40
34,,Georgia,275.28
35,,Germany,2569.53
36,,Greece,829.55
37,,Guatemala,663.31
38,,Honduras,354.57
39,,Hong Kong,2562.15
40,,Hungary,816.26
41,,Iceland,3182.01
42,,India,499.36
43,,Indonesia,340.18
44,,Iran,340.08
45,,Iraq,604.85
46,,Ireland,2698.41
47,,Israel,2340.87
48,,Italy,1579.52
49,,Jamaica,759.01
50,,Japan,2661.65
51,,Jordan,603.43
52,,Kazakhstan,418.06
53,,Kenya,368.43
54,,Kosovo (Disputed Territory),425.13
55,,Kuwait,1645.61
56,,Latvia,897.18
57,,Lebanon,920.64
58,,Lithuania,917.29
59,,Luxembourg,3804.20
60,,Macedonia,405.94
61,,Malaysia,868.65
62,,Malta,1188.45
63,,Mauritius,598.50
64,,Mexico,540.87
65,,Moldova,297.92
66,,Montenegro,522.47
67,,Morocco,406.42
68,,Namibia,774.79
69,,Nepal,202.70
70,,Netherlands,2707.07
71,,New Zealand,2591.91
72,,Nigeria,221.47
73,,Norway,3290.12
74,,Oman,1668.04
75,,Pakistan,229.99
76,,Palestinian Territory,705.08
77,,Panama,735.25
78,,Peru,480.58
79,,Philippines,315.19
80,,Poland,942.11
81,,Portugal,972.94
82,,Puerto Rico,1711.72
83,,Qatar,3143.25
84,,Romania,660.20
85,,Russia,608.06
86,,Saudi Arabia,1535.55
87,,Serbia,459.82
88,,Singapore,3185.84
89,,Slovakia,1025.66
90,,Slovenia,1271.71
91,,South Africa,1204.90
92,,South Korea,2237.82
93,,Spain,1511.01
94,,Sri Lanka,279.00
95,,Sweden,2669.48
96,,Switzerland,5458.88
97,,Taiwan,1351.68
98,,Thailand,621.30
99,,Trinidad And Tobago,794.84
100,,Tunisia,286.45
101,,Turkey,463.70
102,,Uganda,-
103,,Ukraine,396.73
104,,United Arab Emirates,2731.23
105,,United Kingdom,2409.94
106,,United States,3566.64
107,,Uruguay,714.76
108,,Uzbekistan,252.00
109,,Venezuela,20.83
110,,Vietnam,379.72
