,Rank,City,Local Cheese (1kg)
0,,Albania,5.96
1,,Algeria,9.08
2,,Argentina,10.49
3,,Armenia,6.27
4,,Australia,9.26
5,,Austria,14.70
6,,Azerbaijan,5.74
7,,Bahrain,6.01
8,,Bangladesh,6.85
9,,Belarus,8.77
10,,Belgium,15.96
11,,Bosnia And Herzegovina,7.20
12,,Brazil,9.39
13,,Bulgaria,6.45
14,,Cambodia,24.00
15,,Canada,10.78
16,,Chile,11.26
17,,China,16.30
18,,Colombia,4.63
19,,Costa Rica,6.33
20,,Croatia,10.17
21,,Cyprus,9.68
22,,Czech Republic,8.76
23,,Denmark,14.59
24,,Dominican Republic,5.11
25,,Ecuador,4.05
26,,Egypt,3.88
27,,Estonia,9.03
28,,Finland,10.16
29,,France,17.71
30,,Georgia,4.55
31,,Germany,11.27
32,,Greece,10.59
33,,Hong Kong,13.23
34,,Hungary,7.50
35,,Iceland,13.46
36,,India,4.47
37,,Indonesia,9.72
38,,Iran,4.63
39,,Iraq,5.49
40,,Ireland,12.70
41,,Israel,13.21
42,,Italy,15.37
43,,Jamaica,-
44,,Japan,20.44
45,,Jordan,6.91
46,,Kazakhstan,7.98
47,,Kenya,8.85
48,,Kuwait,6.59
49,,Latvia,9.29
50,,Lebanon,7.74
51,,Lithuania,9.28
52,,Luxembourg,-
53,,Macedonia,5.50
54,,Malaysia,10.84
55,,Malta,8.83
56,,Mexico,6.13
57,,Morocco,7.11
58,,Nepal,5.83
59,,Netherlands,11.20
60,,New Zealand,8.83
61,,Nigeria,-
62,,Norway,15.72
63,,Oman,-
64,,Pakistan,4.07
65,,Panama,7.68
66,,Peru,8.28
67,,Philippines,8.76
68,,Poland,7.39
69,,Portugal,9.44
70,,Puerto Rico,5.04
71,,Qatar,10.22
72,,Romania,6.48
73,,Russia,9.09
74,,Saudi Arabia,6.35
75,,Serbia,6.48
76,,Singapore,14.29
77,,Slovakia,9.49
78,,Slovenia,11.66
79,,South Africa,7.18
80,,South Korea,21.74
81,,Spain,12.18
82,,Sri Lanka,14.39
83,,Sweden,12.18
84,,Switzerland,25.01
85,,Taiwan,-
86,,Thailand,14.30
87,,Trinidad And Tobago,7.91
88,,Tunisia,8.50
89,,Turkey,7.03
90,,Ukraine,6.40
91,,United Arab Emirates,9.33
92,,United Kingdom,10.58
93,,United States,9.63
94,,Uruguay,12.35
95,,Venezuela,18.38
96,,Vietnam,6.89
