,Rank,City,Domestic Beer (0.5 liter draught)
0,,Albania,1.37
1,,Algeria,1.67
2,,Argentina,2.24
3,,Armenia,1.25
4,,Australia,5.55
5,,Austria,4.48
6,,Azerbaijan,1.03
7,,Bahrain,8.62
8,,Bangladesh,3.55
9,,Belarus,2.00
10,,Belgium,4.48
11,,Bolivia,2.05
12,,Bosnia And Herzegovina,1.71
13,,Brazil,1.91
14,,Brunei,-
15,,Bulgaria,1.43
16,,Cambodia,0.75
17,,Canada,5.17
18,,Chile,3.52
19,,China,1.16
20,,Colombia,1.04
21,,Costa Rica,2.56
22,,Croatia,2.41
23,,Cyprus,3.36
24,,Czech Republic,1.56
25,,Denmark,6.73
26,,Dominican Republic,2.23
27,,Ecuador,2.00
28,,Egypt,1.80
29,,El Salvador,-
30,,Estonia,4.48
31,,Ethiopia,0.90
32,,Finland,6.72
33,,France,6.72
34,,Georgia,1.08
35,,Germany,3.92
36,,Greece,4.48
37,,Guatemala,3.24
38,,Honduras,1.72
39,,Hong Kong,6.38
40,,Hungary,1.72
41,,Iceland,9.70
42,,India,2.16
43,,Indonesia,2.44
44,,Iran,0.71
45,,Iraq,2.47
46,,Ireland,5.82
47,,Israel,8.27
48,,Italy,5.60
49,,Jamaica,1.96
50,,Japan,4.16
51,,Jordan,6.70
52,,Kazakhstan,1.31
53,,Kenya,2.96
54,,Kosovo (Disputed Territory),1.68
55,,Kuwait,3.29
56,,Latvia,2.80
57,,Lebanon,3.33
58,,Lithuania,3.36
59,,Luxembourg,5.60
60,,Macedonia,1.63
61,,Malaysia,3.58
62,,Malta,3.36
63,,Mauritius,1.80
64,,Mexico,1.78
65,,Moldova,1.10
66,,Montenegro,2.13
67,,Morocco,3.09
68,,Namibia,1.37
69,,Nepal,3.13
70,,Netherlands,5.04
71,,New Zealand,5.88
72,,Nigeria,0.83
73,,Norway,10.28
74,,Oman,8.44
75,,Pakistan,2.04
76,,Palestinian Territory,2.76
77,,Panama,2.50
78,,Peru,2.08
79,,Philippines,1.15
80,,Poland,2.09
81,,Portugal,2.24
82,,Puerto Rico,2.75
83,,Qatar,12.91
84,,Romania,1.65
85,,Russia,1.53
86,,Saudi Arabia,1.33
87,,Serbia,1.71
88,,Singapore,7.28
89,,Slovakia,1.85
90,,Slovenia,2.80
91,,South Africa,2.06
92,,South Korea,3.36
93,,Spain,2.80
94,,Sri Lanka,1.70
95,,Sweden,6.84
96,,Switzerland,7.00
97,,Taiwan,1.59
98,,Thailand,2.54
99,,Trinidad And Tobago,1.48
100,,Tunisia,1.42
101,,Turkey,2.74
102,,Uganda,0.93
103,,Ukraine,1.04
104,,United Arab Emirates,10.89
105,,United Kingdom,5.06
106,,United States,5.00
107,,Uruguay,2.27
108,,Uzbekistan,1.00
109,,Venezuela,1.00
110,,Vietnam,0.86
