,Rank,City,Gasoline (1 liter)
0,,Albania,1.32
1,,Algeria,0.26
2,,Argentina,1.25
3,,Armenia,0.85
4,,Australia,0.91
5,,Austria,1.25
6,,Azerbaijan,0.48
7,,Bahrain,0.40
8,,Bangladesh,1.18
9,,Belarus,0.61
10,,Belgium,1.42
11,,Bolivia,0.55
12,,Bosnia And Herzegovina,1.03
13,,Brazil,1.07
14,,Bulgaria,1.15
15,,Cambodia,0.88
16,,Canada,0.81
17,,Chile,1.07
18,,China,0.95
19,,Colombia,0.71
20,,Costa Rica,1.05
21,,Croatia,1.36
22,,Cyprus,1.30
23,,Czech Republic,1.23
24,,Denmark,1.54
25,,Dominican Republic,1.14
26,,Ecuador,0.47
27,,Egypt,0.32
28,,El Salvador,0.76
29,,Estonia,1.20
30,,Finland,1.60
31,,France,1.41
32,,Georgia,0.79
33,,Germany,1.44
34,,Greece,1.58
35,,Guatemala,0.74
36,,Hong Kong,1.90
37,,Hungary,1.21
38,,Iceland,1.57
39,,India,1.00
40,,Indonesia,0.57
41,,Iran,0.31
42,,Iraq,0.52
43,,Ireland,1.43
44,,Israel,1.55
45,,Italy,1.59
46,,Jamaica,0.96
47,,Japan,1.11
48,,Jordan,0.85
49,,Kazakhstan,0.39
50,,Kenya,0.93
51,,Kosovo (Disputed Territory),1.08
52,,Kuwait,0.29
53,,Latvia,1.21
54,,Lebanon,0.75
55,,Lithuania,1.19
56,,Luxembourg,1.21
57,,Macedonia,1.15
58,,Malaysia,0.45
59,,Malta,1.48
60,,Mauritius,1.15
61,,Mexico,0.75
62,,Moldova,0.85
63,,Montenegro,1.21
64,,Morocco,0.97
65,,Nepal,0.95
66,,Netherlands,1.69
67,,New Zealand,1.28
68,,Nigeria,0.72
69,,Norway,1.72
70,,Oman,0.43
71,,Pakistan,0.68
72,,Panama,0.74
73,,Peru,1.01
74,,Philippines,0.82
75,,Poland,1.13
76,,Portugal,1.58
77,,Puerto Rico,0.61
78,,Qatar,0.36
79,,Romania,1.25
80,,Russia,0.57
81,,Saudi Arabia,0.21
82,,Serbia,1.25
83,,Singapore,1.52
84,,Slovakia,1.36
85,,Slovenia,1.36
86,,South Africa,0.85
87,,South Korea,1.28
88,,Spain,1.27
89,,Sri Lanka,0.83
90,,Sweden,1.62
91,,Switzerland,1.49
92,,Taiwan,0.77
93,,Thailand,0.75
94,,Trinidad And Tobago,0.58
95,,Tunisia,0.77
96,,Turkey,1.59
97,,Ukraine,0.88
98,,United Arab Emirates,0.46
99,,United Kingdom,1.59
100,,United States,0.58
101,,Uruguay,1.42
102,,Venezuela,0.01
103,,Vietnam,0.72
104,,Zimbabwe,1.30
