,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Albania,76.35
1,,Algeria,49.57
2,,Argentina,126.37
3,,Armenia,112.74
4,,Australia,202.67
5,,Austria,252.14
6,,Azerbaijan,99.10
7,,Bahrain,60.76
8,,Bangladesh,46.24
9,,Belarus,63.02
10,,Belgium,214.76
11,,Bosnia And Herzegovina,169.19
12,,Brazil,88.35
13,,Bulgaria,135.04
14,,Cambodia,74.01
15,,Canada,135.37
16,,Chile,159.41
17,,China,48.15
18,,Colombia,98.71
19,,Costa Rica,92.88
20,,Croatia,247.74
21,,Cyprus,221.39
22,,Czech Republic,200.51
23,,Denmark,260.94
24,,Dominican Republic,50.00
25,,Ecuador,51.57
26,,Egypt,22.64
27,,Estonia,313.81
28,,Finland,179.83
29,,France,202.88
30,,Georgia,76.26
31,,Germany,284.69
32,,Greece,205.93
33,,Hong Kong,175.38
34,,Hungary,216.57
35,,Iceland,134.01
36,,India,34.69
37,,Indonesia,80.12
38,,Iran,47.22
39,,Iraq,98.92
40,,Ireland,184.28
41,,Israel,191.18
42,,Italy,190.03
43,,Jamaica,77.50
44,,Japan,226.20
45,,Jordan,68.05
46,,Kazakhstan,115.21
47,,Kenya,58.95
48,,Kuwait,67.40
49,,Latvia,217.91
50,,Lebanon,139.00
51,,Lithuania,201.53
52,,Luxembourg,289.62
53,,Macedonia,149.35
54,,Malaysia,52.88
55,,Malta,128.32
56,,Mexico,55.77
57,,Morocco,64.16
58,,Nepal,42.36
59,,Netherlands,224.76
60,,New Zealand,159.09
61,,Nigeria,156.53
62,,Norway,299.77
63,,Oman,61.93
64,,Pakistan,69.27
65,,Panama,57.25
66,,Peru,62.26
67,,Philippines,95.46
68,,Poland,200.74
69,,Portugal,121.98
70,,Puerto Rico,201.50
71,,Qatar,59.96
72,,Romania,126.00
73,,Russia,155.05
74,,Saudi Arabia,39.21
75,,Serbia,177.95
76,,Singapore,153.39
77,,Slovakia,229.62
78,,Slovenia,289.66
79,,South Africa,90.51
80,,South Korea,191.10
81,,Spain,177.78
82,,Sri Lanka,60.76
83,,Sweden,114.70
84,,Switzerland,209.53
85,,Taiwan,89.56
86,,Thailand,85.32
87,,Trinidad And Tobago,79.21
88,,Tunisia,60.46
89,,Turkey,106.75
90,,Ukraine,61.97
91,,United Arab Emirates,135.34
92,,United Kingdom,244.23
93,,United States,158.61
94,,Uruguay,117.19
95,,Venezuela,24.32
96,,Vietnam,45.77
