,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Albania,36.42
1,,Algeria,42.76
2,,Argentina,47.34
3,,Armenia,44.44
4,,Australia,40.51
5,,Austria,35.42
6,,Azerbaijan,40.28
7,,Bahrain,46.92
8,,Bangladesh,26.02
9,,Belarus,38.60
10,,Belgium,42.68
11,,Bolivia,40.90
12,,Bosnia And Herzegovina,27.36
13,,Brazil,31.32
14,,Bulgaria,30.04
15,,Cambodia,14.17
16,,Canada,32.74
17,,Chile,29.16
18,,China,32.55
19,,Colombia,29.07
20,,Costa Rica,50.82
21,,Croatia,36.03
22,,Cyprus,42.60
23,,Czech Republic,34.50
24,,Denmark,48.86
25,,Dominican Republic,41.56
26,,Ecuador,46.67
27,,Egypt,49.55
28,,Estonia,34.40
29,,Finland,42.33
30,,France,41.43
31,,Georgia,37.62
32,,Germany,40.46
33,,Ghana,20.88
34,,Greece,32.74
35,,Guatemala,44.96
36,,Hong Kong,36.33
37,,Hungary,29.29
38,,Iceland,58.71
39,,India,31.57
40,,Indonesia,30.86
41,,Iran,50.96
42,,Iraq,30.12
43,,Ireland,36.32
44,,Israel,60.05
45,,Italy,35.06
46,,Japan,39.95
47,,Jordan,63.62
48,,Kazakhstan,42.58
49,,Kenya,21.19
50,,Kosovo (Disputed Territory),26.52
51,,Kuwait,44.43
52,,Latvia,38.63
53,,Lebanon,67.11
54,,Lithuania,34.19
55,,Luxembourg,40.36
56,,Malaysia,26.25
57,,Malta,40.17
58,,Mauritius,33.83
59,,Mexico,30.13
60,,Moldova,41.46
61,,Montenegro,31.73
62,,Morocco,37.29
63,,Nepal,25.60
64,,Netherlands,39.11
65,,New Zealand,40.23
66,,Nigeria,24.17
67,,North Macedonia,34.92
68,,Norway,38.75
69,,Oman,43.30
70,,Pakistan,26.74
71,,Panama,43.75
72,,Peru,30.46
73,,Philippines,27.88
74,,Poland,43.64
75,,Portugal,32.29
76,,Puerto Rico,41.43
77,,Qatar,55.50
78,,Romania,33.32
79,,Russia,41.02
80,,Saudi Arabia,55.67
81,,Serbia,28.74
82,,Singapore,38.35
83,,Slovakia,32.11
84,,Slovenia,33.37
85,,South Africa,28.09
86,,South Korea,39.17
87,,Spain,32.65
88,,Sri Lanka,19.16
89,,Sweden,38.97
90,,Switzerland,51.46
91,,Syria,-
92,,Taiwan,33.98
93,,Tanzania,-
94,,Thailand,31.26
95,,Trinidad And Tobago,41.90
96,,Tunisia,48.37
97,,Turkey,26.53
98,,Uganda,32.01
99,,Ukraine,42.09
100,,United Arab Emirates,50.65
101,,United Kingdom,36.59
102,,United States,34.92
103,,Uruguay,35.95
104,,Uzbekistan,35.83
105,,Venezuela,33.33
106,,Vietnam,27.05
