,Rank,City,Water (0.33 liter bottle)
0,,Albania,0.44
1,,Algeria,0.22
2,,Argentina,1.23
3,,Armenia,0.33
4,,Australia,1.96
5,,Austria,1.98
6,,Azerbaijan,0.23
7,,Bahrain,0.31
8,,Bangladesh,0.20
9,,Belarus,0.37
10,,Belgium,2.14
11,,Bolivia,0.81
12,,Bosnia And Herzegovina,0.66
13,,Brazil,0.72
14,,Bulgaria,0.53
15,,Cambodia,0.35
16,,Canada,1.29
17,,Chile,0.98
18,,China,0.31
19,,Colombia,0.63
20,,Costa Rica,1.28
21,,Croatia,1.30
22,,Cyprus,0.96
23,,Czech Republic,0.86
24,,Denmark,2.24
25,,Dominican Republic,0.51
26,,Ecuador,0.50
27,,Egypt,0.27
28,,El Salvador,0.64
29,,Estonia,1.32
30,,Finland,1.66
31,,France,1.96
32,,Georgia,0.23
33,,Germany,1.90
34,,Greece,0.57
35,,Guatemala,0.58
36,,Hong Kong,0.86
37,,Hungary,0.62
38,,Iceland,1.85
39,,India,0.21
40,,Indonesia,0.25
41,,Iran,0.20
42,,Iraq,0.23
43,,Ireland,1.42
44,,Israel,1.73
45,,Italy,1.10
46,,Jamaica,0.87
47,,Japan,0.99
48,,Jordan,0.41
49,,Kazakhstan,0.30
50,,Kenya,0.44
51,,Kosovo (Disputed Territory),0.66
52,,Kuwait,0.44
53,,Latvia,0.73
54,,Lebanon,0.46
55,,Lithuania,0.79
56,,Luxembourg,2.36
57,,Macedonia,0.61
58,,Malaysia,0.34
59,,Malta,1.19
60,,Mauritius,0.53
61,,Mexico,0.51
62,,Moldova,0.42
63,,Montenegro,0.92
64,,Morocco,0.38
65,,Nepal,0.17
66,,Netherlands,2.14
67,,New Zealand,1.94
68,,Nigeria,0.34
69,,Norway,3.03
70,,Oman,0.30
71,,Pakistan,0.27
72,,Panama,0.95
73,,Peru,0.52
74,,Philippines,0.36
75,,Poland,0.73
76,,Portugal,0.99
77,,Puerto Rico,1.10
78,,Qatar,0.32
79,,Romania,0.91
80,,Russia,0.47
81,,Saudi Arabia,0.24
82,,Serbia,0.70
83,,Singapore,0.94
84,,Slovakia,1.11
85,,Slovenia,1.51
86,,South Africa,0.60
87,,South Korea,0.65
88,,Spain,1.22
89,,Sri Lanka,0.33
90,,Sweden,2.07
91,,Switzerland,3.40
92,,Taiwan,0.63
93,,Thailand,0.28
94,,Trinidad And Tobago,0.75
95,,Tunisia,0.25
96,,Turkey,0.31
97,,Ukraine,0.30
98,,United Arab Emirates,0.33
99,,United Kingdom,1.30
100,,United States,1.40
101,,Uruguay,0.99
102,,Venezuela,0.41
103,,Vietnam,0.28
104,,Zimbabwe,0.42
