,Rank,City,Average Monthly Net Salary (After Tax)
0,,Albania,347.04
1,,Argentina,1104.58
2,,Australia,3979.12
3,,Austria,1974.78
4,,Bahrain,1711.71
5,,Bangladesh,358.68
6,,Belarus,402.70
7,,Belgium,2472.08
8,,Bosnia And Herzegovina,515.38
9,,Brazil,931.12
10,,Bulgaria,445.18
11,,Cambodia,215.91
12,,Canada,3089.15
13,,Chile,1166.39
14,,China,673.56
15,,Colombia,499.64
16,,Costa Rica,737.57
17,,Croatia,789.73
18,,Cyprus,1479.42
19,,Czech Republic,913.62
20,,Denmark,3017.70
21,,Dominican Republic,874.23
22,,Ecuador,354.08
23,,Egypt,328.29
24,,Estonia,868.05
25,,Finland,2621.06
26,,France,2269.85
27,,Georgia,633.26
28,,Germany,2671.58
29,,Greece,909.83
30,,Hong Kong,2862.67
31,,Hungary,660.84
32,,Iceland,1681.94
33,,India,484.14
34,,Indonesia,339.28
35,,Iran,546.80
36,,Iraq,653.75
37,,Ireland,2724.75
38,,Israel,1656.43
39,,Italy,1695.04
40,,Japan,3368.42
41,,Jordan,635.25
42,,Kazakhstan,536.88
43,,Kenya,523.60
44,,Kuwait,1895.09
45,,Latvia,649.19
46,,Lebanon,941.80
47,,Lithuania,587.25
48,,Luxembourg,3302.47
49,,Macedonia,342.19
50,,Malaysia,946.42
51,,Malta,1455.03
52,,Mauritius,1036.36
53,,Mexico,797.27
54,,Morocco,459.59
55,,Nepal,201.07
56,,Netherlands,2617.72
57,,New Zealand,2529.05
58,,Nigeria,775.00
59,,Norway,4192.09
60,,Oman,1875.00
61,,Pakistan,239.06
62,,Peru,581.81
63,,Philippines,305.34
64,,Poland,742.65
65,,Portugal,980.59
66,,Puerto Rico,1868.31
67,,Qatar,5942.83
68,,Romania,427.29
69,,Russia,804.30
70,,Saudi Arabia,2066.78
71,,Serbia,466.32
72,,Singapore,2439.44
73,,Slovakia,919.46
74,,Slovenia,1158.68
75,,South Africa,1653.82
76,,South Korea,2117.93
77,,Spain,1494.55
78,,Sri Lanka,359.57
79,,Sweden,2782.26
80,,Switzerland,5692.56
81,,Taiwan,1350.02
82,,Tanzania,701.26
83,,Thailand,474.01
84,,Tunisia,401.46
85,,Turkey,974.08
86,,Ukraine,415.22
87,,United Arab Emirates,3352.11
88,,United Kingdom,2665.80
89,,United States,3110.04
90,,Uruguay,893.15
91,,Venezuela,926.39
92,,Vietnam,437.37
