,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,Algeria,64.49
1,,Argentina,100.53
2,,Australia,102.10
3,,Austria,89.61
4,,Azerbaijan,76.28
5,,Bahrain,68.11
6,,Bangladesh,34.19
7,,Belarus,91.21
8,,Belgium,90.45
9,,Bosnia And Herzegovina,82.46
10,,Brazil,89.70
11,,Bulgaria,65.45
12,,Canada,56.90
13,,Chile,55.17
14,,China,104.01
15,,Colombia,76.89
16,,Costa Rica,68.77
17,,Croatia,90.72
18,,Cyprus,97.94
19,,Czech Republic,87.44
20,,Denmark,124.10
21,,Dominican Republic,50.09
22,,Ecuador,79.38
23,,Egypt,62.00
24,,Estonia,94.81
25,,Ethiopia,23.95
26,,Finland,103.46
27,,France,105.00
28,,Georgia,61.85
29,,Germany,97.97
30,,Ghana,29.92
31,,Greece,102.10
32,,Hong Kong,80.54
33,,Hungary,83.04
34,,Iceland,-
35,,India,37.75
36,,Indonesia,53.53
37,,Iran,58.70
38,,Iraq,31.07
39,,Ireland,85.39
40,,Israel,101.85
41,,Italy,112.10
42,,Jamaica,67.76
43,,Japan,78.91
44,,Jordan,63.43
45,,Kazakhstan,76.82
46,,Kenya,30.57
47,,Kuwait,74.71
48,,Latvia,78.04
49,,Lebanon,73.53
50,,Lithuania,96.41
51,,Luxembourg,116.02
52,,Macedonia,57.97
53,,Malaysia,76.26
54,,Malta,-
55,,Mexico,52.42
56,,Moldova,74.15
57,,Morocco,58.37
58,,Nepal,28.23
59,,Netherlands,113.71
60,,New Zealand,85.17
61,,Nigeria,61.34
62,,Norway,151.44
63,,Oman,65.79
64,,Pakistan,27.78
65,,Panama,-
66,,Peru,55.74
67,,Philippines,57.69
68,,Poland,79.87
69,,Portugal,107.79
70,,Puerto Rico,38.93
71,,Qatar,87.87
72,,Romania,67.38
73,,Russia,109.12
74,,Saudi Arabia,61.12
75,,Serbia,78.51
76,,Singapore,99.18
77,,Slovakia,77.39
78,,Slovenia,109.46
79,,South Africa,60.27
80,,South Korea,87.22
81,,Spain,103.99
82,,Sri Lanka,34.96
83,,Sweden,122.52
84,,Switzerland,125.25
85,,Syria,47.82
86,,Taiwan,82.22
87,,Tanzania,-
88,,Thailand,50.55
89,,Trinidad And Tobago,55.17
90,,Tunisia,68.87
91,,Turkey,66.46
92,,Ukraine,85.55
93,,United Arab Emirates,67.46
94,,United Kingdom,82.26
95,,United States,40.44
96,,Uruguay,131.85
97,,Venezuela,158.82
98,,Vietnam,55.19
