,Rank,City,Gasoline (1 liter)
0,,Albania,1.41
1,,Algeria,0.22
2,,Argentina,1.43
3,,Armenia,0.94
4,,Australia,1.04
5,,Austria,1.26
6,,Azerbaijan,0.67
7,,Bahrain,0.27
8,,Bangladesh,1.27
9,,Belarus,0.73
10,,Belgium,1.45
11,,Bosnia And Herzegovina,1.11
12,,Brazil,1.06
13,,Bulgaria,1.23
14,,Cambodia,1.03
15,,Canada,0.88
16,,Chile,1.24
17,,China,1.07
18,,Colombia,0.86
19,,Costa Rica,1.20
20,,Croatia,1.38
21,,Cyprus,1.35
22,,Czech Republic,1.26
23,,Denmark,1.56
24,,Dominican Republic,1.27
25,,Ecuador,0.50
26,,Egypt,0.35
27,,Estonia,1.16
28,,Finland,1.61
29,,France,1.42
30,,Georgia,0.85
31,,Germany,1.50
32,,Greece,1.61
33,,Guatemala,0.84
34,,Hong Kong,1.91
35,,Hungary,1.25
36,,Iceland,1.51
37,,India,1.07
38,,Indonesia,0.62
39,,Iran,0.30
40,,Iraq,0.63
41,,Ireland,1.49
42,,Israel,1.64
43,,Italy,1.65
44,,Jamaica,1.03
45,,Japan,1.12
46,,Jordan,0.95
47,,Kazakhstan,0.62
48,,Kenya,0.98
49,,Kuwait,0.21
50,,Latvia,1.23
51,,Lebanon,0.85
52,,Lithuania,1.24
53,,Luxembourg,1.24
54,,Macedonia,1.16
55,,Malaysia,0.55
56,,Malta,1.52
57,,Mauritius,1.33
58,,Mexico,0.90
59,,Moldova,0.98
60,,Montenegro,1.31
61,,Morocco,0.98
62,,Nepal,1.09
63,,Netherlands,1.71
64,,New Zealand,1.39
65,,Nigeria,0.46
66,,Norway,1.81
67,,Oman,0.31
68,,Pakistan,0.76
69,,Panama,0.77
70,,Peru,1.17
71,,Philippines,0.94
72,,Poland,1.25
73,,Portugal,1.57
74,,Puerto Rico,0.69
75,,Qatar,0.27
76,,Romania,1.35
77,,Russia,0.66
78,,Saudi Arabia,0.13
79,,Serbia,1.30
80,,Singapore,1.56
81,,Slovakia,1.44
82,,Slovenia,1.41
83,,South Africa,1.04
84,,South Korea,1.35
85,,Spain,1.33
86,,Sri Lanka,0.89
87,,Sweden,1.59
88,,Switzerland,1.61
89,,Taiwan,0.88
90,,Tanzania,0.99
91,,Thailand,0.89
92,,Trinidad And Tobago,0.45
93,,Tunisia,0.83
94,,Turkey,1.72
95,,Ukraine,1.00
96,,United Arab Emirates,0.53
97,,United Kingdom,1.71
98,,United States,0.64
99,,Uruguay,1.59
100,,Venezuela,0.01
101,,Vietnam,0.89
102,,Zimbabwe,1.41
