,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Albania,22.56
1,,Algeria,26.09
2,,Argentina,46.08
3,,Armenia,16.48
4,,Australia,55.10
5,,Austria,35.35
6,,Azerbaijan,14.11
7,,Bahamas,67.22
8,,Bahrain,41.48
9,,Bangladesh,28.14
10,,Belarus,13.86
11,,Belgium,53.29
12,,Belize,59.72
13,,Bolivia,52.84
14,,Bosnia And Herzegovina,24.95
15,,Brazil,33.22
16,,Bulgaria,11.87
17,,Cambodia,32.59
18,,Canada,56.09
19,,Chile,42.09
20,,China,16.05
21,,Colombia,35.23
22,,Costa Rica,73.04
23,,Croatia,26.15
24,,Cyprus,47.62
25,,Czech Republic,21.42
26,,Denmark,36.97
27,,Dominican Republic,59.26
28,,Ecuador,38.80
29,,Egypt,16.37
30,,El Salvador,42.91
31,,Estonia,25.59
32,,Fiji,31.46
33,,Finland,28.36
34,,France,32.96
35,,Georgia,16.86
36,,Germany,35.48
37,,Ghana,-
38,,Greece,36.14
39,,Guatemala,75.43
40,,Hong Kong,28.08
41,,Hungary,15.37
42,,Iceland,68.48
43,,India,14.02
44,,Indonesia,31.09
45,,Iran,28.52
46,,Iraq,40.12
47,,Ireland,58.96
48,,Israel,25.40
49,,Italy,32.32
50,,Jamaica,41.14
51,,Japan,42.81
52,,Jordan,45.37
53,,Kazakhstan,12.47
54,,Kenya,61.74
55,,Kosovo (Disputed Territory),11.89
56,,Kuwait,27.24
57,,Latvia,17.56
58,,Lebanon,44.96
59,,Lithuania,12.67
60,,Luxembourg,55.47
61,,Macedonia,17.26
62,,Malaysia,37.75
63,,Malta,37.17
64,,Mauritius,36.76
65,,Mexico,25.72
66,,Moldova,9.52
67,,Montenegro,31.33
68,,Morocco,30.90
69,,Namibia,64.15
70,,Nepal,18.61
71,,Netherlands,44.07
72,,New Zealand,59.17
73,,Nigeria,39.68
74,,Norway,56.50
75,,Oman,70.47
76,,Pakistan,24.12
77,,Panama,53.59
78,,Peru,38.58
79,,Philippines,42.68
80,,Poland,14.44
81,,Portugal,36.01
82,,Puerto Rico,63.63
83,,Qatar,85.09
84,,Romania,9.20
85,,Russia,7.61
86,,Saudi Arabia,64.06
87,,Serbia,23.81
88,,Singapore,31.99
89,,Slovakia,19.22
90,,Slovenia,38.34
91,,South Africa,74.57
92,,South Korea,26.10
93,,Spain,48.91
94,,Sri Lanka,15.91
95,,Sweden,32.42
96,,Switzerland,60.75
97,,Taiwan,28.32
98,,Tanzania,63.85
99,,Thailand,23.11
100,,Trinidad And Tobago,45.45
101,,Tunisia,19.09
102,,Turkey,17.59
103,,Uganda,75.81
104,,Ukraine,4.57
105,,United Arab Emirates,99.12
106,,United Kingdom,41.26
107,,United States,62.43
108,,Uruguay,34.34
109,,Uzbekistan,35.09
110,,Venezuela,6.08
111,,Vietnam,11.28
112,,Zimbabwe,105.29
