,Rank,City,Average Monthly Net Salary (After Tax)
0,,Algeria,370.55
1,,Argentina,980.44
2,,Australia,4194.33
3,,Austria,2636.76
4,,Azerbaijan,529.33
5,,Bahrain,1084.46
6,,Bangladesh,360.82
7,,Belarus,529.74
8,,Belgium,2438.14
9,,Bosnia And Herzegovina,518.95
10,,Brazil,830.93
11,,Bulgaria,487.20
12,,Canada,2921.90
13,,Chile,944.39
14,,China,749.62
15,,Colombia,478.75
16,,Costa Rica,831.91
17,,Croatia,848.47
18,,Cyprus,1490.68
19,,Czech Republic,1088.95
20,,Denmark,3340.93
21,,Dominican Republic,529.69
22,,Ecuador,352.60
23,,Egypt,254.07
24,,Estonia,792.68
25,,Ethiopia,245.75
26,,Finland,2885.38
27,,France,2783.05
28,,Georgia,303.64
29,,Germany,2670.98
30,,Ghana,375.00
31,,Greece,857.56
32,,Hong Kong,2481.79
33,,Hungary,664.03
34,,Iceland,2227.14
35,,India,511.58
36,,Indonesia,376.39
37,,Iran,411.38
38,,Iraq,524.15
39,,Ireland,2832.24
40,,Israel,1835.23
41,,Italy,2060.21
42,,Jamaica,953.36
43,,Japan,2968.04
44,,Jordan,661.64
45,,Kazakhstan,753.49
46,,Kenya,478.41
47,,Kuwait,2514.58
48,,Latvia,705.68
49,,Lebanon,970.28
50,,Lithuania,699.36
51,,Luxembourg,5405.84
52,,Macedonia,379.52
53,,Malaysia,1103.72
54,,Malta,1351.52
55,,Mexico,770.88
56,,Moldova,268.76
57,,Morocco,340.14
58,,Nepal,182.52
59,,Netherlands,2904.77
60,,New Zealand,2698.84
61,,Nigeria,713.80
62,,Norway,4221.55
63,,Oman,2196.12
64,,Pakistan,259.98
65,,Panama,-
66,,Peru,450.46
67,,Philippines,351.83
68,,Poland,871.59
69,,Portugal,1049.29
70,,Puerto Rico,1681.67
71,,Qatar,3763.49
72,,Romania,483.10
73,,Russia,827.15
74,,Saudi Arabia,1741.74
75,,Serbia,503.62
76,,Singapore,2854.14
77,,Slovakia,872.37
78,,Slovenia,1218.09
79,,South Africa,1548.71
80,,South Korea,2010.81
81,,Spain,1540.21
82,,Sri Lanka,374.24
83,,Sweden,3095.81
84,,Switzerland,5982.82
85,,Syria,246.25
86,,Taiwan,1555.51
87,,Tanzania,517.14
88,,Thailand,581.64
89,,Trinidad And Tobago,704.35
90,,Tunisia,377.18
91,,Turkey,846.30
92,,Ukraine,442.82
93,,United Arab Emirates,3151.22
94,,United Kingdom,2733.11
95,,United States,3163.19
96,,Uruguay,888.71
97,,Venezuela,498.39
98,,Vietnam,307.51
