,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Albania,32.54
1,,Algeria,43.83
2,,Argentina,65.13
3,,Armenia,46.94
4,,Australia,49.11
5,,Austria,37.40
6,,Azerbaijan,37.26
7,,Bahrain,49.29
8,,Bangladesh,36.25
9,,Belarus,37.38
10,,Belgium,42.76
11,,Bolivia,47.71
12,,Bosnia And Herzegovina,34.27
13,,Brazil,46.80
14,,Bulgaria,29.98
15,,Cambodia,17.00
16,,Canada,34.26
17,,Chile,36.16
18,,China,37.75
19,,Colombia,42.65
20,,Costa Rica,53.26
21,,Croatia,33.36
22,,Cyprus,38.41
23,,Czech Republic,32.55
24,,Denmark,41.38
25,,Dominican Republic,64.83
26,,Ecuador,63.11
27,,Egypt,53.78
28,,El Salvador,43.18
29,,Estonia,37.69
30,,Finland,38.19
31,,France,42.49
32,,Georgia,34.76
33,,Germany,37.24
34,,Greece,33.97
35,,Guatemala,50.44
36,,Hong Kong,38.84
37,,Hungary,33.57
38,,Iceland,73.12
39,,India,35.05
40,,Indonesia,33.22
41,,Iran,34.53
42,,Iraq,33.50
43,,Ireland,41.19
44,,Israel,54.59
45,,Italy,37.06
46,,Jamaica,32.24
47,,Japan,37.23
48,,Jordan,67.22
49,,Kazakhstan,41.41
50,,Kenya,25.87
51,,Kosovo (Disputed Territory),24.60
52,,Kuwait,46.31
53,,Latvia,37.26
54,,Lebanon,50.66
55,,Lithuania,43.38
56,,Luxembourg,36.33
57,,Macedonia,32.11
58,,Malaysia,32.13
59,,Malta,38.93
60,,Mauritius,54.21
61,,Mexico,34.93
62,,Moldova,30.74
63,,Montenegro,38.60
64,,Morocco,44.31
65,,Nepal,26.88
66,,Netherlands,38.78
67,,New Zealand,44.19
68,,Nigeria,41.60
69,,Norway,47.73
70,,Oman,42.07
71,,Pakistan,32.17
72,,Panama,35.71
73,,Peru,42.15
74,,Philippines,29.37
75,,Poland,32.95
76,,Portugal,31.54
77,,Puerto Rico,48.67
78,,Qatar,62.85
79,,Romania,33.84
80,,Russia,40.78
81,,Saudi Arabia,57.79
82,,Serbia,32.61
83,,Singapore,41.94
84,,Slovakia,36.28
85,,Slovenia,37.73
86,,South Africa,33.13
87,,South Korea,38.82
88,,Spain,31.65
89,,Sri Lanka,28.71
90,,Sweden,42.85
91,,Switzerland,61.04
92,,Taiwan,38.04
93,,Thailand,29.25
94,,Trinidad And Tobago,47.13
95,,Tunisia,44.74
96,,Turkey,31.53
97,,Ukraine,40.15
98,,United Arab Emirates,52.16
99,,United Kingdom,43.07
100,,United States,35.08
101,,Uruguay,51.95
102,,Venezuela,57.77
103,,Vietnam,37.66
104,,Zimbabwe,26.86
