,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Albania,23.24
1,,Algeria,12.87
2,,Argentina,32.05
3,,Armenia,24.89
4,,Australia,60.39
5,,Austria,58.39
6,,Azerbaijan,23.49
7,,Bahamas,100.00
8,,Bahrain,35.74
9,,Bangladesh,8.89
10,,Belarus,30.00
11,,Belgium,70.07
12,,Belize,35.00
13,,Bolivia,23.10
14,,Bosnia And Herzegovina,17.94
15,,Brazil,26.86
16,,Bulgaria,26.88
17,,Cambodia,20.00
18,,Canada,50.16
19,,Chile,47.57
20,,China,24.94
21,,Colombia,20.87
22,,Costa Rica,35.38
23,,Croatia,36.37
24,,Cyprus,49.63
25,,Czech Republic,29.39
26,,Denmark,85.51
27,,Dominican Republic,40.38
28,,Ecuador,30.00
29,,Egypt,16.77
30,,El Salvador,30.00
31,,Estonia,46.71
32,,Fiji,29.13
33,,Finland,72.99
34,,France,58.39
35,,Georgia,22.10
36,,Germany,52.55
37,,Ghana,30.69
38,,Greece,40.87
39,,Guatemala,26.76
40,,Hong Kong,50.98
41,,Hungary,32.85
42,,Iceland,114.78
43,,India,11.90
44,,Indonesia,11.51
45,,Iran,18.69
46,,Iraq,24.00
47,,Ireland,70.07
48,,Israel,59.63
49,,Italy,58.39
50,,Jamaica,51.28
51,,Japan,36.66
52,,Jordan,42.28
53,,Kazakhstan,30.39
54,,Kenya,29.54
55,,Kosovo (Disputed Territory),18.69
56,,Kuwait,39.69
57,,Latvia,46.71
58,,Lebanon,50.00
59,,Lithuania,35.03
60,,Luxembourg,78.83
61,,Macedonia,18.96
62,,Malaysia,15.06
63,,Malta,58.39
64,,Mauritius,34.73
65,,Mexico,25.07
66,,Moldova,28.00
67,,Montenegro,29.20
68,,Morocco,15.80
69,,Namibia,37.38
70,,Nepal,9.27
71,,Netherlands,70.07
72,,New Zealand,57.14
73,,Nigeria,16.68
74,,Norway,97.64
75,,Oman,27.92
76,,Pakistan,12.97
77,,Panama,42.50
78,,Peru,22.91
79,,Philippines,15.20
80,,Poland,27.06
81,,Portugal,35.03
82,,Puerto Rico,50.00
83,,Qatar,47.51
84,,Romania,25.06
85,,Russia,32.05
86,,Saudi Arabia,26.66
87,,Serbia,24.73
88,,Singapore,44.65
89,,Slovakia,31.53
90,,Slovenia,35.03
91,,South Africa,38.80
92,,South Korea,37.19
93,,Spain,40.87
94,,Sri Lanka,12.65
95,,Sweden,67.97
96,,Switzerland,101.24
97,,Taiwan,23.45
98,,Tanzania,21.91
99,,Thailand,20.27
100,,Trinidad And Tobago,66.85
101,,Tunisia,13.68
102,,Turkey,17.67
103,,Uganda,15.90
104,,Ukraine,19.18
105,,United Arab Emirates,40.84
106,,United Kingdom,66.31
107,,United States,50.00
108,,Uruguay,36.62
109,,Uzbekistan,20.00
110,,Venezuela,25.00
111,,Vietnam,17.55
112,,Zimbabwe,40.00
