,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Albania,1.15
1,,Algeria,0.51
2,,Argentina,1.18
3,,Armenia,0.67
4,,Australia,2.28
5,,Austria,3.12
6,,Azerbaijan,0.43
7,,Bahrain,0.77
8,,Bangladesh,0.34
9,,Belarus,0.74
10,,Belgium,2.79
11,,Bolivia,0.78
12,,Bosnia And Herzegovina,1.37
13,,Brazil,1.17
14,,Brunei,0.80
15,,Bulgaria,0.98
16,,Cambodia,0.74
17,,Canada,1.60
18,,Chile,1.12
19,,China,0.50
20,,Colombia,0.72
21,,Costa Rica,1.50
22,,Croatia,2.12
23,,Cyprus,1.49
24,,Czech Republic,1.28
25,,Denmark,3.46
26,,Dominican Republic,0.94
27,,Ecuador,0.72
28,,Egypt,0.31
29,,El Salvador,-
30,,Estonia,1.97
31,,Ethiopia,0.47
32,,Finland,2.82
33,,France,2.85
34,,Georgia,0.51
35,,Germany,2.57
36,,Greece,1.91
37,,Guatemala,1.18
38,,Honduras,0.83
39,,Hong Kong,1.10
40,,Hungary,1.10
41,,Iceland,2.78
42,,India,0.46
43,,Indonesia,0.60
44,,Iran,0.51
45,,Iraq,0.47
46,,Ireland,1.91
47,,Israel,2.33
48,,Italy,2.31
49,,Jamaica,0.98
50,,Japan,1.32
51,,Jordan,0.52
52,,Kazakhstan,0.51
53,,Kenya,0.62
54,,Kosovo (Disputed Territory),1.08
55,,Kuwait,0.75
56,,Latvia,1.15
57,,Lebanon,0.89
58,,Lithuania,1.64
59,,Luxembourg,3.05
60,,Macedonia,1.29
61,,Malaysia,0.60
62,,Malta,2.07
63,,Mauritius,1.53
64,,Mexico,0.74
65,,Moldova,0.74
66,,Montenegro,1.82
67,,Morocco,0.55
68,,Namibia,0.87
69,,Nepal,0.55
70,,Netherlands,2.63
71,,New Zealand,2.16
72,,Nigeria,0.35
73,,Norway,3.55
74,,Oman,0.74
75,,Pakistan,0.28
76,,Palestinian Territory,0.67
77,,Panama,1.28
78,,Peru,0.73
79,,Philippines,0.60
80,,Poland,1.10
81,,Portugal,1.45
82,,Puerto Rico,1.47
83,,Qatar,0.72
84,,Romania,1.30
85,,Russia,0.77
86,,Saudi Arabia,0.70
87,,Serbia,1.35
88,,Singapore,1.39
89,,Slovakia,1.65
90,,Slovenia,2.35
91,,South Africa,0.94
92,,South Korea,1.43
93,,Spain,1.90
94,,Sri Lanka,0.54
95,,Sweden,2.22
96,,Switzerland,3.97
97,,Taiwan,0.87
98,,Thailand,0.60
99,,Trinidad And Tobago,0.90
100,,Tunisia,0.48
101,,Turkey,0.70
102,,Uganda,0.43
103,,Ukraine,0.53
104,,United Arab Emirates,0.87
105,,United Kingdom,1.66
106,,United States,1.85
107,,Uruguay,1.52
108,,Uzbekistan,0.50
109,,Venezuela,1.15
110,,Vietnam,0.49
