,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Albania,26.83
1,,Algeria,15.57
2,,Argentina,25.54
3,,Armenia,25.81
4,,Australia,63.87
5,,Austria,55.67
6,,Azerbaijan,23.49
7,,Bahrain,39.84
8,,Bangladesh,11.77
9,,Belarus,31.08
10,,Belgium,66.80
11,,Bolivia,18.64
12,,Bosnia And Herzegovina,22.74
13,,Brazil,18.69
14,,Bulgaria,28.39
15,,Cambodia,20.00
16,,Canada,54.63
17,,Chile,43.80
18,,China,23.82
19,,Colombia,20.28
20,,Costa Rica,43.86
21,,Croatia,43.93
22,,Cyprus,50.10
23,,Czech Republic,29.80
24,,Denmark,89.62
25,,Dominican Republic,39.99
26,,Ecuador,25.00
27,,Egypt,25.33
28,,Estonia,55.67
29,,Finland,77.94
30,,France,55.67
31,,Georgia,20.41
32,,Germany,55.67
33,,Ghana,34.48
34,,Greece,38.97
35,,Guatemala,28.91
36,,Hong Kong,64.50
37,,Hungary,32.12
38,,Iceland,88.48
39,,India,13.28
40,,Indonesia,17.26
41,,Iran,25.56
42,,Iraq,25.11
43,,Ireland,66.80
44,,Israel,75.66
45,,Italy,66.80
46,,Japan,46.29
47,,Jordan,40.00
48,,Kazakhstan,24.25
49,,Kenya,32.84
50,,Kosovo (Disputed Territory),16.70
51,,Kuwait,45.45
52,,Latvia,44.53
53,,Lebanon,66.08
54,,Lithuania,44.53
55,,Luxembourg,77.94
56,,Malaysia,13.89
57,,Malta,72.37
58,,Mauritius,37.59
59,,Mexico,27.20
60,,Moldova,22.87
61,,Montenegro,27.83
62,,Morocco,20.43
63,,Nepal,16.52
64,,Netherlands,67.36
65,,New Zealand,56.14
66,,Nigeria,32.29
67,,North Macedonia,18.05
68,,Norway,84.81
69,,Oman,26.01
70,,Pakistan,12.30
71,,Panama,50.00
72,,Peru,23.25
73,,Philippines,19.88
74,,Poland,30.11
75,,Portugal,33.40
76,,Puerto Rico,60.00
77,,Qatar,54.54
78,,Romania,32.08
79,,Russia,35.64
80,,Saudi Arabia,31.96
81,,Serbia,27.38
82,,Singapore,49.73
83,,Slovakia,36.18
84,,Slovenia,44.53
85,,South Africa,31.53
86,,South Korea,39.12
87,,Spain,44.53
88,,Sri Lanka,16.09
89,,Sweden,74.57
90,,Switzerland,104.09
91,,Syria,29.12
92,,Taiwan,25.06
93,,Tanzania,38.35
94,,Thailand,25.20
95,,Trinidad And Tobago,96.12
96,,Tunisia,16.53
97,,Turkey,16.16
98,,Uganda,26.43
99,,Ukraine,22.32
100,,United Arab Emirates,54.45
101,,United Kingdom,61.91
102,,United States,60.00
103,,Uruguay,38.38
104,,Uzbekistan,22.50
105,,Venezuela,40.00
106,,Vietnam,21.48
