,Rank,City,Domestic Beer (0.5 liter draught)
0,,Argentina,2.00
1,,Australia,5.08
2,,Austria,4.01
3,,Belgium,3.64
4,,Bosnia And Herzegovina,1.23
5,,Brazil,1.65
6,,Bulgaria,1.07
7,,Canada,4.81
8,,Chile,1.50
9,,China,1.17
10,,Colombia,1.66
11,,Croatia,2.04
12,,Czech Republic,1.21
13,,Denmark,6.61
14,,Ecuador,1.00
15,,Egypt,1.20
16,,Estonia,2.21
17,,Finland,6.05
18,,France,5.56
19,,Germany,3.09
20,,Greece,4.01
21,,Hong Kong,0.96
22,,Hungary,1.18
23,,India,1.51
24,,Indonesia,2.15
25,,Iran,1.35
26,,Ireland,5.80
27,,Israel,6.00
28,,Italy,4.94
29,,Japan,3.29
30,,Jordan,2.50
31,,Kazakhstan,1.75
32,,Lithuania,0.95
33,,Malaysia,2.30
34,,Malta,2.47
35,,Mexico,1.39
36,,Morocco,4.46
37,,Netherlands,3.70
38,,New Zealand,4.76
39,,Norway,9.27
40,,Pakistan,1.40
41,,Panama,0.80
42,,Philippines,0.70
43,,Poland,1.82
44,,Portugal,1.85
45,,Puerto Rico,1.62
46,,Qatar,5.44
47,,Romania,1.23
48,,Russia,1.98
49,,Saudi Arabia,0.75
50,,Serbia,0.99
51,,Singapore,5.00
52,,Slovakia,1.23
53,,Slovenia,2.72
54,,South Africa,1.50
55,,South Korea,1.95
56,,Spain,2.47
57,,Sweden,5.12
58,,Switzerland,4.31
59,,Syria,1.90
60,,Taiwan,1.00
61,,Thailand,1.84
62,,Turkey,2.87
63,,Ukraine,1.50
64,,United Arab Emirates,8.00
65,,United Kingdom,4.35
66,,United States,3.00
67,,Vietnam,1.00
