,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Albania,99.81
1,,Algeria,89.66
2,,Argentina,105.85
3,,Armenia,125.28
4,,Australia,131.74
5,,Austria,105.02
6,,Azerbaijan,112.19
7,,Bahrain,78.82
8,,Bangladesh,69.35
9,,Belarus,121.20
10,,Belgium,130.63
11,,Bosnia And Herzegovina,80.40
12,,Brazil,138.63
13,,Bulgaria,94.72
14,,Cambodia,50.00
15,,Canada,93.93
16,,Chile,72.87
17,,China,101.40
18,,Colombia,109.16
19,,Costa Rica,114.71
20,,Croatia,101.34
21,,Cyprus,106.73
22,,Czech Republic,90.56
23,,Denmark,144.81
24,,Dominican Republic,94.40
25,,Ecuador,104.44
26,,Egypt,95.47
27,,Estonia,109.80
28,,Finland,111.52
29,,France,121.75
30,,Georgia,89.71
31,,Germany,117.22
32,,Greece,108.84
33,,Hong Kong,85.43
34,,Hungary,98.31
35,,Iceland,172.58
36,,India,54.20
37,,Indonesia,68.08
38,,Iran,107.67
39,,Iraq,80.00
40,,Ireland,106.20
41,,Israel,126.63
42,,Italy,120.31
43,,Jamaica,61.64
44,,Japan,77.32
45,,Jordan,99.15
46,,Kazakhstan,98.07
47,,Kenya,68.38
48,,Kuwait,99.33
49,,Latvia,90.01
50,,Lebanon,100.88
51,,Lithuania,112.98
52,,Luxembourg,-
53,,Macedonia,91.85
54,,Malaysia,83.97
55,,Malta,92.23
56,,Mexico,81.25
57,,Morocco,76.29
58,,Nepal,33.56
59,,Netherlands,124.82
60,,New Zealand,130.73
61,,Nigeria,49.09
62,,Norway,161.12
63,,Oman,95.24
64,,Pakistan,53.63
65,,Panama,83.57
66,,Peru,92.87
67,,Philippines,91.28
68,,Poland,86.65
69,,Portugal,96.99
70,,Puerto Rico,89.25
71,,Qatar,100.44
72,,Romania,84.38
73,,Russia,104.82
74,,Saudi Arabia,92.13
75,,Serbia,98.31
76,,Singapore,100.78
77,,Slovakia,74.78
78,,Slovenia,114.20
79,,South Africa,84.21
80,,South Korea,116.57
81,,Spain,95.06
82,,Sri Lanka,59.98
83,,Sweden,128.61
84,,Switzerland,136.32
85,,Taiwan,85.71
86,,Thailand,91.48
87,,Trinidad And Tobago,92.96
88,,Tunisia,77.08
89,,Turkey,69.53
90,,Ukraine,74.49
91,,United Arab Emirates,91.03
92,,United Kingdom,103.46
93,,United States,79.28
94,,Uruguay,117.16
95,,Venezuela,315.97
96,,Vietnam,83.25
