,Rank,City,Taxi Start (Normal Tariff)
0,,Albania,2.32
1,,Algeria,0.39
2,,Argentina,1.32
3,,Armenia,1.24
4,,Australia,3.17
5,,Austria,4.67
6,,Azerbaijan,1.17
7,,Bahamas,-
8,,Bahrain,5.29
9,,Bangladesh,0.77
10,,Belarus,2.00
11,,Belgium,4.67
12,,Belize,3.24
13,,Bolivia,1.44
14,,Bosnia And Herzegovina,1.14
15,,Brazil,1.34
16,,Bulgaria,0.54
17,,Cambodia,1.00
18,,Canada,2.89
19,,Chile,0.48
20,,China,1.71
21,,Colombia,1.57
22,,Costa Rica,1.15
23,,Croatia,2.37
24,,Cyprus,4.67
25,,Czech Republic,1.81
26,,Denmark,6.59
27,,Dominican Republic,4.04
28,,Ecuador,1.50
29,,Egypt,0.34
30,,El Salvador,5.00
31,,Estonia,2.92
32,,Fiji,0.73
33,,Finland,7.30
34,,France,5.84
35,,Georgia,1.21
36,,Germany,4.26
37,,Ghana,-
38,,Greece,3.97
39,,Guatemala,3.34
40,,Hong Kong,3.06
41,,Hungary,2.01
42,,Iceland,6.60
43,,India,0.67
44,,Indonesia,0.50
45,,Iran,0.27
46,,Iraq,2.52
47,,Ireland,4.67
48,,Israel,3.37
49,,Italy,5.84
50,,Jamaica,2.56
51,,Japan,5.32
52,,Jordan,0.42
53,,Kazakhstan,1.22
54,,Kenya,2.95
55,,Kosovo (Disputed Territory),1.75
56,,Kuwait,3.31
57,,Latvia,1.66
58,,Lebanon,6.00
59,,Lithuania,1.17
60,,Luxembourg,-
61,,Macedonia,0.76
62,,Malaysia,0.75
63,,Malta,11.68
64,,Mauritius,4.34
65,,Mexico,1.25
66,,Moldova,1.47
67,,Montenegro,1.17
68,,Morocco,0.74
69,,Namibia,0.95
70,,Nepal,1.85
71,,Netherlands,4.67
72,,New Zealand,2.45
73,,Nigeria,1.39
74,,Norway,10.63
75,,Oman,2.60
76,,Pakistan,0.86
77,,Panama,2.25
78,,Peru,2.14
79,,Philippines,0.76
80,,Poland,1.89
81,,Portugal,3.80
82,,Puerto Rico,-
83,,Qatar,2.75
84,,Romania,0.45
85,,Russia,1.60
86,,Saudi Arabia,2.67
87,,Serbia,1.68
88,,Singapore,2.61
89,,Slovakia,3.50
90,,Slovenia,1.17
91,,South Africa,1.18
92,,South Korea,2.79
93,,Spain,3.50
94,,Sri Lanka,0.36
95,,Sweden,5.55
96,,Switzerland,7.09
97,,Taiwan,2.34
98,,Tanzania,2.19
99,,Thailand,1.09
100,,Trinidad And Tobago,0.89
101,,Tunisia,0.20
102,,Turkey,0.88
103,,Uganda,-
104,,Ukraine,1.53
105,,United Arab Emirates,3.27
106,,United Kingdom,3.98
107,,United States,3.20
108,,Uruguay,1.30
109,,Uzbekistan,0.51
110,,Venezuela,1.00
111,,Vietnam,0.48
112,,Zimbabwe,5.00
