,Rank,City,"Meal, Inexpensive Restaurant"
0,,Albania,5.11
1,,Algeria,3.00
2,,Argentina,10.02
3,,Armenia,5.70
4,,Australia,14.34
5,,Austria,13.43
6,,Azerbaijan,5.87
7,,Bahamas,20.00
8,,Bahrain,5.29
9,,Bangladesh,1.78
10,,Belarus,7.00
11,,Belgium,17.52
12,,Belize,-
13,,Bolivia,3.46
14,,Bosnia And Herzegovina,4.19
15,,Brazil,5.37
16,,Bulgaria,5.97
17,,Cambodia,4.00
18,,Canada,12.06
19,,Chile,8.72
20,,China,3.90
21,,Colombia,4.17
22,,Costa Rica,7.52
23,,Croatia,7.91
24,,Cyprus,12.85
25,,Czech Republic,5.88
26,,Denmark,18.44
27,,Dominican Republic,7.07
28,,Ecuador,3.50
29,,Egypt,3.35
30,,El Salvador,5.50
31,,Estonia,9.34
32,,Fiji,4.85
33,,Finland,12.85
34,,France,15.18
35,,Georgia,6.07
36,,Germany,11.68
37,,Ghana,4.25
38,,Greece,11.68
39,,Guatemala,5.35
40,,Hong Kong,6.37
41,,Hungary,6.57
42,,Iceland,22.96
43,,India,2.68
44,,Indonesia,1.80
45,,Iran,5.32
46,,Iraq,6.00
47,,Ireland,17.52
48,,Israel,15.43
49,,Italy,17.52
50,,Jamaica,4.73
51,,Japan,9.17
52,,Jordan,7.05
53,,Kazakhstan,6.08
54,,Kenya,3.97
55,,Kosovo (Disputed Territory),3.62
56,,Kuwait,6.61
57,,Latvia,8.17
58,,Lebanon,10.00
59,,Lithuania,9.05
60,,Luxembourg,18.10
61,,Macedonia,4.74
62,,Malaysia,2.51
63,,Malta,14.01
64,,Mauritius,7.72
65,,Mexico,5.01
66,,Moldova,5.45
67,,Montenegro,5.84
68,,Morocco,3.16
69,,Namibia,9.43
70,,Nepal,2.32
71,,Netherlands,17.52
72,,New Zealand,12.29
73,,Nigeria,1.39
74,,Norway,21.07
75,,Oman,6.49
76,,Pakistan,1.73
77,,Panama,9.00
78,,Peru,3.05
79,,Philippines,2.85
80,,Poland,5.41
81,,Portugal,9.34
82,,Puerto Rico,12.00
83,,Qatar,6.87
84,,Romania,6.26
85,,Russia,8.01
86,,Saudi Arabia,5.33
87,,Serbia,5.85
88,,Singapore,7.47
89,,Slovakia,5.84
90,,Slovenia,9.34
91,,South Africa,9.45
92,,South Korea,7.21
93,,Spain,11.68
94,,Sri Lanka,1.90
95,,Sweden,12.46
96,,Switzerland,25.31
97,,Taiwan,3.68
98,,Tanzania,2.85
99,,Thailand,2.18
100,,Trinidad And Tobago,5.94
101,,Tunisia,1.95
102,,Turkey,4.42
103,,Uganda,3.50
104,,Ukraine,4.60
105,,United Arab Emirates,6.81
106,,United Kingdom,17.24
107,,United States,15.00
108,,Uruguay,11.25
109,,Uzbekistan,3.02
110,,Venezuela,3.00
111,,Vietnam,1.76
112,,Zimbabwe,6.00
