,Rank,City,Water (1.5 liter bottle)
0,,Argentina,1.15
1,,Australia,2.59
2,,Austria,0.73
3,,Bangladesh,0.33
4,,Belgium,1.79
5,,Bosnia And Herzegovina,0.78
6,,Brazil,1.36
7,,Bulgaria,0.64
8,,Canada,2.25
9,,Chile,1.30
10,,China,0.54
11,,Colombia,1.38
12,,Costa Rica,1.67
13,,Croatia,1.23
14,,Cyprus,1.78
15,,Czech Republic,0.76
16,,Denmark,1.82
17,,Ecuador,1.06
18,,Egypt,0.52
19,,Estonia,1.33
20,,Finland,2.14
21,,France,1.11
22,,Germany,1.09
23,,Greece,1.28
24,,Hong Kong,2.29
25,,Hungary,0.65
26,,Iceland,1.97
27,,India,0.46
28,,Indonesia,0.52
29,,Iran,0.40
30,,Ireland,2.41
31,,Israel,1.46
32,,Italy,0.66
33,,Japan,1.99
34,,Jordan,0.59
35,,Latvia,0.98
36,,Lebanon,0.73
37,,Lithuania,0.92
38,,Macedonia,0.47
39,,Malaysia,0.75
40,,Malta,0.85
41,,Mexico,1.08
42,,Morocco,0.75
43,,Netherlands,1.50
44,,New Zealand,2.13
45,,Norway,3.38
46,,Pakistan,0.44
47,,Panama,0.97
48,,Peru,1.05
49,,Philippines,0.83
50,,Poland,0.71
51,,Portugal,0.65
52,,Puerto Rico,1.53
53,,Qatar,0.69
54,,Romania,0.79
55,,Russia,0.98
56,,Saudi Arabia,0.67
57,,Serbia,0.63
58,,Singapore,1.39
59,,Slovakia,0.78
60,,Slovenia,0.93
61,,South Africa,1.87
62,,South Korea,1.21
63,,Spain,0.96
64,,Sri Lanka,0.57
65,,Sweden,2.15
66,,Switzerland,1.40
67,,Syria,0.49
68,,Taiwan,1.02
69,,Thailand,0.57
70,,Tunisia,0.43
71,,Turkey,0.65
72,,Ukraine,0.94
73,,United Arab Emirates,0.72
74,,United Kingdom,1.94
75,,United States,1.68
76,,Uruguay,1.24
77,,Venezuela,1.90
78,,Vietnam,1.17
