,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Albania,67.82
1,,Algeria,76.99
2,,Argentina,113.37
3,,Armenia,87.45
4,,Australia,102.26
5,,Austria,91.24
6,,Azerbaijan,86.23
7,,Bahrain,83.36
8,,Bangladesh,57.86
9,,Belarus,92.14
10,,Belgium,93.14
11,,Bosnia And Herzegovina,68.79
12,,Brazil,101.52
13,,Bulgaria,71.66
14,,Cambodia,37.14
15,,Canada,78.36
16,,Chile,64.09
17,,China,101.14
18,,Colombia,77.73
19,,Costa Rica,99.15
20,,Croatia,76.73
21,,Cyprus,73.67
22,,Czech Republic,71.26
23,,Denmark,117.09
24,,Dominican Republic,102.86
25,,Ecuador,109.67
26,,Egypt,96.85
27,,Estonia,83.00
28,,Finland,99.62
29,,France,92.41
30,,Georgia,73.32
31,,Germany,94.34
32,,Greece,81.23
33,,Guatemala,98.88
34,,Hong Kong,83.56
35,,Hungary,72.53
36,,Iceland,158.91
37,,India,51.37
38,,Indonesia,63.39
39,,Iran,95.40
40,,Iraq,63.31
41,,Ireland,85.41
42,,Israel,112.37
43,,Italy,89.08
44,,Jamaica,55.24
45,,Japan,72.45
46,,Jordan,94.58
47,,Kazakhstan,105.58
48,,Kenya,60.34
49,,Kuwait,88.53
50,,Latvia,79.78
51,,Lebanon,110.80
52,,Lithuania,78.89
53,,Luxembourg,103.83
54,,Macedonia,75.35
55,,Malaysia,75.81
56,,Malta,81.00
57,,Mauritius,80.95
58,,Mexico,75.44
59,,Moldova,80.94
60,,Montenegro,78.14
61,,Morocco,70.46
62,,Nepal,34.61
63,,Netherlands,95.88
64,,New Zealand,102.70
65,,Nigeria,40.19
66,,Norway,114.56
67,,Oman,64.94
68,,Pakistan,45.13
69,,Panama,78.53
70,,Peru,83.18
71,,Philippines,81.02
72,,Poland,70.29
73,,Portugal,78.05
74,,Puerto Rico,79.87
75,,Qatar,93.58
76,,Romania,64.63
77,,Russia,83.68
78,,Saudi Arabia,81.58
79,,Serbia,70.31
80,,Singapore,92.41
81,,Slovakia,64.83
82,,Slovenia,87.77
83,,South Africa,79.09
84,,South Korea,89.00
85,,Spain,82.96
86,,Sri Lanka,68.50
87,,Sweden,102.17
88,,Switzerland,133.04
89,,Taiwan,81.82
90,,Tanzania,56.42
91,,Thailand,89.11
92,,Trinidad And Tobago,99.19
93,,Tunisia,79.06
94,,Turkey,66.88
95,,Ukraine,85.41
96,,United Arab Emirates,84.98
97,,United Kingdom,90.08
98,,United States,74.48
99,,Uruguay,104.89
100,,Venezuela,158.00
101,,Vietnam,72.79
102,,Zimbabwe,84.00
