,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Albania,1.19
1,,Algeria,0.51
2,,Argentina,1.07
3,,Armenia,0.67
4,,Australia,2.18
5,,Austria,2.98
6,,Azerbaijan,0.42
7,,Bahrain,0.75
8,,Bangladesh,0.34
9,,Belarus,0.61
10,,Belgium,2.56
11,,Bolivia,0.87
12,,Bosnia And Herzegovina,1.47
13,,Brazil,0.88
14,,Bulgaria,0.99
15,,Cambodia,0.69
16,,Canada,1.65
17,,Chile,1.19
18,,China,0.47
19,,Colombia,0.69
20,,Costa Rica,1.58
21,,Croatia,2.24
22,,Cyprus,1.75
23,,Czech Republic,1.41
24,,Denmark,3.52
25,,Dominican Republic,0.83
26,,Ecuador,0.83
27,,Egypt,0.34
28,,Estonia,1.90
29,,Finland,2.78
30,,France,2.95
31,,Georgia,0.63
32,,Germany,2.68
33,,Ghana,0.65
34,,Greece,1.83
35,,Guatemala,0.86
36,,Hong Kong,1.19
37,,Hungary,1.18
38,,Iceland,2.36
39,,India,0.47
40,,Indonesia,0.57
41,,Iran,0.70
42,,Iraq,0.44
43,,Ireland,2.09
44,,Israel,2.65
45,,Italy,2.38
46,,Japan,1.37
47,,Jordan,0.62
48,,Kazakhstan,0.61
49,,Kenya,0.49
50,,Kosovo (Disputed Territory),1.10
51,,Kuwait,0.52
52,,Latvia,1.47
53,,Lebanon,1.82
54,,Lithuania,1.76
55,,Luxembourg,3.28
56,,Malaysia,0.59
57,,Malta,2.02
58,,Mauritius,0.92
59,,Mexico,0.73
60,,Moldova,0.60
61,,Montenegro,1.99
62,,Morocco,0.56
63,,Nepal,0.44
64,,Netherlands,2.88
65,,New Zealand,2.25
66,,Nigeria,0.33
67,,North Macedonia,1.28
68,,Norway,3.27
69,,Oman,0.71
70,,Pakistan,0.30
71,,Panama,1.32
72,,Peru,0.79
73,,Philippines,0.63
74,,Poland,1.11
75,,Portugal,1.53
76,,Puerto Rico,1.19
77,,Qatar,0.77
78,,Romania,1.32
79,,Russia,0.76
80,,Saudi Arabia,0.76
81,,Serbia,1.49
82,,Singapore,1.31
83,,Slovakia,1.56
84,,Slovenia,2.30
85,,South Africa,0.80
86,,South Korea,1.48
87,,Spain,2.01
88,,Sri Lanka,0.57
89,,Sweden,2.24
90,,Switzerland,4.36
91,,Syria,0.79
92,,Taiwan,0.91
93,,Tanzania,0.67
94,,Thailand,0.61
95,,Trinidad And Tobago,0.92
96,,Tunisia,0.53
97,,Turkey,0.65
98,,Uganda,0.37
99,,Ukraine,0.53
100,,United Arab Emirates,1.05
101,,United Kingdom,1.67
102,,United States,1.95
103,,Uruguay,1.66
104,,Uzbekistan,0.62
105,,Venezuela,1.27
106,,Vietnam,0.52
