,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Albania,66.82
1,,Algeria,32.88
2,,Argentina,93.19
3,,Armenia,84.23
4,,Australia,136.42
5,,Austria,191.29
6,,Azerbaijan,43.45
7,,Bahrain,79.35
8,,Bangladesh,38.14
9,,Belarus,43.83
10,,Belgium,149.22
11,,Bolivia,49.87
12,,Bosnia And Herzegovina,127.91
13,,Brazil,70.37
14,,Bulgaria,90.43
15,,Cambodia,84.20
16,,Canada,101.02
17,,Chile,106.74
18,,China,53.62
19,,Colombia,69.56
20,,Costa Rica,63.73
21,,Croatia,178.69
22,,Cyprus,111.48
23,,Czech Republic,158.19
24,,Denmark,175.75
25,,Dominican Republic,59.78
26,,Ecuador,36.18
27,,Egypt,26.85
28,,El Salvador,72.92
29,,Estonia,195.84
30,,Finland,103.38
31,,France,156.02
32,,Georgia,60.21
33,,Germany,253.15
34,,Greece,166.69
35,,Guatemala,62.28
36,,Hong Kong,187.72
37,,Hungary,167.02
38,,Iceland,83.95
39,,India,32.51
40,,Indonesia,73.85
41,,Iran,35.71
42,,Iraq,87.96
43,,Ireland,181.70
44,,Israel,173.61
45,,Italy,163.84
46,,Jamaica,101.75
47,,Japan,185.30
48,,Jordan,68.55
49,,Kazakhstan,53.93
50,,Kenya,50.13
51,,Kosovo (Disputed Territory),82.06
52,,Kuwait,47.72
53,,Latvia,194.11
54,,Lebanon,132.23
55,,Lithuania,179.45
56,,Luxembourg,261.19
57,,Macedonia,126.29
58,,Malaysia,45.77
59,,Malta,85.14
60,,Mauritius,64.45
61,,Mexico,36.08
62,,Moldova,107.11
63,,Montenegro,129.03
64,,Morocco,40.87
65,,Nepal,40.64
66,,Netherlands,164.85
67,,New Zealand,126.24
68,,Nigeria,79.57
69,,Norway,188.79
70,,Oman,59.33
71,,Pakistan,64.74
72,,Panama,90.53
73,,Peru,54.68
74,,Philippines,83.58
75,,Poland,167.16
76,,Portugal,95.78
77,,Puerto Rico,167.90
78,,Qatar,72.44
79,,Romania,102.02
80,,Russia,95.75
81,,Saudi Arabia,42.98
82,,Serbia,140.09
83,,Singapore,117.86
84,,Slovakia,197.41
85,,Slovenia,220.18
86,,South Africa,68.98
87,,South Korea,151.79
88,,Spain,133.19
89,,Sri Lanka,78.72
90,,Sweden,76.55
91,,Switzerland,192.20
92,,Taiwan,58.73
93,,Thailand,64.43
94,,Trinidad And Tobago,75.52
95,,Tunisia,40.09
96,,Turkey,94.73
97,,Ukraine,63.47
98,,United Arab Emirates,145.66
99,,United Kingdom,213.70
100,,United States,144.47
101,,Uruguay,155.10
102,,Venezuela,13.94
103,,Vietnam,56.98
104,,Zimbabwe,126.12
