,Rank,City,Average Monthly Net Salary (After Tax)
0,,Albania,428.00
1,,Algeria,435.69
2,,Argentina,1132.70
3,,Armenia,358.07
4,,Australia,4002.54
5,,Austria,2544.10
6,,Azerbaijan,713.92
7,,Bahrain,1308.11
8,,Bangladesh,358.94
9,,Belarus,520.59
10,,Belgium,2412.68
11,,Bosnia And Herzegovina,555.56
12,,Brazil,796.18
13,,Bulgaria,542.04
14,,Cambodia,189.29
15,,Canada,2798.69
16,,Chile,967.78
17,,China,839.02
18,,Colombia,541.30
19,,Costa Rica,803.90
20,,Croatia,887.44
21,,Cyprus,1669.09
22,,Czech Republic,1109.11
23,,Denmark,3529.96
24,,Dominican Republic,380.16
25,,Ecuador,403.75
26,,Egypt,289.09
27,,Estonia,1022.14
28,,Finland,2885.89
29,,France,2620.53
30,,Georgia,344.59
31,,Germany,2776.85
32,,Greece,1027.21
33,,Hong Kong,2588.88
34,,Hungary,714.42
35,,Iceland,2341.64
36,,India,531.13
37,,Indonesia,318.88
38,,Iran,440.21
39,,Iraq,679.91
40,,Ireland,2807.62
41,,Israel,2363.30
42,,Italy,1997.40
43,,Jamaica,614.95
44,,Japan,2513.66
45,,Jordan,628.11
46,,Kazakhstan,757.19
47,,Kenya,421.65
48,,Kuwait,2727.36
49,,Latvia,766.27
50,,Lebanon,1200.00
51,,Lithuania,775.17
52,,Luxembourg,3951.22
53,,Macedonia,372.23
54,,Malaysia,1020.46
55,,Malta,1737.92
56,,Mexico,783.44
57,,Morocco,526.88
58,,Nepal,150.91
59,,Netherlands,3088.80
60,,New Zealand,2554.46
61,,Nigeria,786.32
62,,Norway,4435.39
63,,Oman,1816.43
64,,Pakistan,279.71
65,,Panama,780.00
66,,Peru,469.48
67,,Philippines,414.82
68,,Poland,985.97
69,,Portugal,1101.54
70,,Puerto Rico,2056.12
71,,Qatar,3473.27
72,,Romania,530.48
73,,Russia,872.49
74,,Saudi Arabia,1823.79
75,,Serbia,504.05
76,,Singapore,3098.76
77,,Slovakia,955.70
78,,Slovenia,1283.76
79,,South Africa,1573.40
80,,South Korea,2570.58
81,,Spain,1680.36
82,,Sri Lanka,296.12
83,,Sweden,3130.23
84,,Switzerland,6710.39
85,,Taiwan,1052.45
86,,Thailand,531.49
87,,Trinidad And Tobago,1094.89
88,,Tunisia,423.61
89,,Turkey,781.69
90,,Ukraine,257.64
91,,United Arab Emirates,2973.89
92,,United Kingdom,2775.62
93,,United States,2727.65
94,,Uruguay,1086.41
95,,Venezuela,312.00
96,,Vietnam,248.08
