,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Albania,5.07
1,,Algeria,5.17
2,,Argentina,46.90
3,,Armenia,11.81
4,,Australia,4.06
5,,Austria,2.17
6,,Azerbaijan,7.94
7,,Bahrain,7.02
8,,Bangladesh,11.10
9,,Belarus,14.58
10,,Belgium,1.76
11,,Bolivia,9.00
12,,Bosnia And Herzegovina,4.53
13,,Brazil,9.67
14,,Brunei,-
15,,Bulgaria,3.79
16,,Cambodia,-
17,,Canada,3.52
18,,Chile,3.55
19,,China,5.10
20,,Colombia,11.60
21,,Costa Rica,10.34
22,,Croatia,3.98
23,,Cyprus,3.06
24,,Czech Republic,2.75
25,,Denmark,1.56
26,,Dominican Republic,11.23
27,,Ecuador,9.91
28,,Egypt,13.74
29,,El Salvador,8.80
30,,Estonia,2.42
31,,Ethiopia,-
32,,Finland,1.38
33,,France,1.63
34,,Georgia,11.75
35,,Germany,1.83
36,,Greece,4.74
37,,Guatemala,7.62
38,,Honduras,-
39,,Hong Kong,2.56
40,,Hungary,4.92
41,,Iceland,6.30
42,,India,9.37
43,,Indonesia,10.03
44,,Iran,20.30
45,,Iraq,8.50
46,,Ireland,3.45
47,,Israel,3.68
48,,Italy,2.10
49,,Jamaica,-
50,,Japan,1.48
51,,Jordan,8.13
52,,Kazakhstan,15.38
53,,Kenya,14.18
54,,Kosovo (Disputed Territory),4.28
55,,Kuwait,5.59
56,,Latvia,2.47
57,,Lebanon,7.61
58,,Lithuania,2.43
59,,Luxembourg,1.73
60,,Macedonia,5.37
61,,Malaysia,4.47
62,,Malta,3.94
63,,Mauritius,-
64,,Mexico,11.08
65,,Moldova,-
66,,Montenegro,7.50
67,,Morocco,4.98
68,,Namibia,11.58
69,,Nepal,11.00
70,,Netherlands,2.27
71,,New Zealand,4.43
72,,Nigeria,16.86
73,,Norway,2.85
74,,Oman,4.72
75,,Pakistan,14.40
76,,Palestinian Territory,-
77,,Panama,5.10
78,,Peru,8.12
79,,Philippines,7.91
80,,Poland,3.89
81,,Portugal,2.14
82,,Puerto Rico,4.80
83,,Qatar,4.75
84,,Romania,5.86
85,,Russia,10.53
86,,Saudi Arabia,4.56
87,,Serbia,3.94
88,,Singapore,2.49
89,,Slovakia,1.56
90,,Slovenia,3.13
91,,South Africa,10.57
92,,South Korea,3.56
93,,Spain,2.29
94,,Sri Lanka,14.54
95,,Sweden,2.33
96,,Switzerland,1.59
97,,Taiwan,1.91
98,,Thailand,5.49
99,,Trinidad And Tobago,6.38
100,,Tunisia,9.27
101,,Turkey,19.93
102,,Uganda,-
103,,Ukraine,19.54
104,,United Arab Emirates,4.18
105,,United Kingdom,3.23
106,,United States,4.17
107,,Uruguay,8.00
108,,Uzbekistan,21.83
109,,Venezuela,26.80
110,,Vietnam,8.97
