,Rank,City,"Meal, Inexpensive Restaurant"
0,,Albania,4.92
1,,Algeria,2.73
2,,Argentina,10.89
3,,Armenia,6.27
4,,Australia,13.41
5,,Austria,11.35
6,,Azerbaijan,5.31
7,,Bahrain,5.31
8,,Bangladesh,2.54
9,,Belarus,7.00
10,,Belgium,17.03
11,,Bolivia,3.64
12,,Bosnia And Herzegovina,4.07
13,,Brazil,5.76
14,,Bulgaria,5.81
15,,Cambodia,2.50
16,,Canada,11.72
17,,Chile,7.34
18,,China,3.81
19,,Colombia,3.39
20,,Costa Rica,7.40
21,,Croatia,6.80
22,,Cyprus,11.35
23,,Czech Republic,5.04
24,,Denmark,18.32
25,,Dominican Republic,6.53
26,,Ecuador,3.50
27,,Egypt,4.50
28,,El Salvador,4.00
29,,Estonia,9.08
30,,Finland,13.62
31,,France,13.62
32,,Georgia,7.08
33,,Germany,11.35
34,,Greece,11.35
35,,Guatemala,5.23
36,,Hong Kong,6.44
37,,Hungary,5.48
38,,Iceland,16.31
39,,India,2.25
40,,Indonesia,2.27
41,,Iran,5.00
42,,Iraq,8.80
43,,Ireland,17.03
44,,Israel,15.67
45,,Italy,17.03
46,,Jamaica,4.00
47,,Japan,7.91
48,,Jordan,7.05
49,,Kazakhstan,6.00
50,,Kenya,3.96
51,,Kosovo (Disputed Territory),2.84
52,,Kuwait,6.64
53,,Latvia,6.81
54,,Lebanon,10.00
55,,Lithuania,6.81
56,,Luxembourg,17.03
57,,Macedonia,3.69
58,,Malaysia,2.47
59,,Malta,13.62
60,,Mauritius,7.08
61,,Mexico,4.85
62,,Moldova,3.54
63,,Montenegro,6.81
64,,Morocco,3.11
65,,Nepal,1.69
66,,Netherlands,17.03
67,,New Zealand,12.55
68,,Nigeria,2.51
69,,Norway,20.31
70,,Oman,7.79
71,,Pakistan,1.91
72,,Panama,8.50
73,,Peru,3.17
74,,Philippines,3.26
75,,Poland,5.23
76,,Portugal,7.95
77,,Puerto Rico,12.00
78,,Qatar,8.24
79,,Romania,5.04
80,,Russia,7.69
81,,Saudi Arabia,4.80
82,,Serbia,5.53
83,,Singapore,8.87
84,,Slovakia,5.68
85,,Slovenia,7.95
86,,South Africa,6.71
87,,South Korea,6.07
88,,Spain,11.35
89,,Sri Lanka,1.71
90,,Sweden,12.29
91,,Switzerland,23.27
92,,Taiwan,3.73
93,,Thailand,1.70
94,,Trinidad And Tobago,7.54
95,,Tunisia,2.35
96,,Turkey,5.17
97,,Ukraine,4.00
98,,United Arab Emirates,8.17
99,,United Kingdom,17.47
100,,United States,14.00
101,,Uruguay,13.05
102,,Venezuela,5.00
103,,Vietnam,1.79
104,,Zimbabwe,5.00
