,Rank,City,One-way Ticket (Local Transport)
0,,Algeria,0.25
1,,Argentina,0.48
2,,Australia,3.85
3,,Austria,2.73
4,,Azerbaijan,0.25
5,,Bahrain,-
6,,Bangladesh,0.36
7,,Belarus,0.23
8,,Belgium,2.60
9,,Bosnia And Herzegovina,1.07
10,,Brazil,1.33
11,,Bulgaria,0.67
12,,Canada,2.88
13,,Chile,1.28
14,,China,0.33
15,,Colombia,0.89
16,,Costa Rica,0.76
17,,Croatia,2.08
18,,Cyprus,1.95
19,,Czech Republic,1.27
20,,Denmark,4.18
21,,Dominican Republic,0.62
22,,Ecuador,0.25
23,,Egypt,0.15
24,,Estonia,1.43
25,,Ethiopia,0.25
26,,Finland,3.64
27,,France,2.21
28,,Georgia,0.30
29,,Germany,3.25
30,,Ghana,0.75
31,,Greece,1.56
32,,Hong Kong,1.03
33,,Hungary,1.53
34,,Iceland,2.87
35,,India,0.27
36,,Indonesia,0.36
37,,Iran,0.16
38,,Iraq,0.43
39,,Ireland,2.99
40,,Israel,1.79
41,,Italy,1.95
42,,Jamaica,1.03
43,,Japan,1.99
44,,Jordan,0.70
45,,Kazakhstan,0.54
46,,Kenya,0.66
47,,Kuwait,0.86
48,,Latvia,0.93
49,,Lebanon,1.00
50,,Lithuania,0.95
51,,Luxembourg,2.60
52,,Macedonia,0.70
53,,Malaysia,0.66
54,,Malta,1.95
55,,Mexico,0.55
56,,Moldova,0.24
57,,Morocco,0.48
58,,Nepal,0.22
59,,Netherlands,3.51
60,,New Zealand,2.80
61,,Nigeria,0.96
62,,Norway,5.96
63,,Oman,-
64,,Pakistan,0.21
65,,Panama,0.57
66,,Peru,0.56
67,,Philippines,0.19
68,,Poland,1.03
69,,Portugal,1.95
70,,Puerto Rico,1.50
71,,Qatar,2.75
72,,Romania,0.59
73,,Russia,0.72
74,,Saudi Arabia,0.53
75,,Serbia,0.83
76,,Singapore,1.59
77,,Slovakia,0.91
78,,Slovenia,1.56
79,,South Africa,1.49
80,,South Korea,1.04
81,,Spain,1.95
82,,Sri Lanka,0.24
83,,Sweden,3.63
84,,Switzerland,3.33
85,,Syria,0.21
86,,Taiwan,0.68
87,,Tanzania,0.25
88,,Thailand,0.67
89,,Trinidad And Tobago,0.95
90,,Tunisia,0.40
91,,Turkey,1.06
92,,Ukraine,0.30
93,,United Arab Emirates,1.09
94,,United Kingdom,3.33
95,,United States,2.00
96,,Uruguay,1.01
97,,Venezuela,0.83
98,,Vietnam,0.24
