,Rank,City,Gasoline (1 liter)
0,,Albania,1.40
1,,Algeria,0.30
2,,Argentina,1.29
3,,Armenia,0.81
4,,Australia,1.00
5,,Austria,1.30
6,,Azerbaijan,0.49
7,,Bahrain,0.39
8,,Bangladesh,1.13
9,,Belarus,0.63
10,,Belgium,1.51
11,,Bolivia,0.54
12,,Bosnia And Herzegovina,1.08
13,,Brazil,1.15
14,,Bulgaria,1.18
15,,Cambodia,0.92
16,,Canada,0.85
17,,Chile,1.13
18,,China,0.96
19,,Colombia,0.76
20,,Costa Rica,1.09
21,,Croatia,1.44
22,,Cyprus,1.36
23,,Czech Republic,1.31
24,,Denmark,1.55
25,,Dominican Republic,1.17
26,,Ecuador,0.45
27,,Egypt,0.26
28,,Estonia,1.34
29,,Finland,1.65
30,,France,1.48
31,,Georgia,0.92
32,,Germany,1.49
33,,Greece,1.69
34,,Guatemala,0.84
35,,Hong Kong,1.96
36,,Hungary,1.30
37,,Iceland,2.00
38,,India,1.12
39,,Indonesia,0.61
40,,Iran,0.30
41,,Iraq,0.50
42,,Ireland,1.50
43,,Israel,1.71
44,,Italy,1.66
45,,Jamaica,1.10
46,,Japan,1.17
47,,Jordan,1.05
48,,Kazakhstan,0.47
49,,Kenya,0.96
50,,Kosovo (Disputed Territory),1.13
51,,Kuwait,0.30
52,,Latvia,1.26
53,,Lebanon,0.85
54,,Lithuania,1.24
55,,Luxembourg,1.23
56,,Macedonia,1.15
57,,Malaysia,0.53
58,,Malta,1.46
59,,Mauritius,1.26
60,,Mexico,0.92
61,,Moldova,0.95
62,,Montenegro,1.39
63,,Morocco,0.99
64,,Nepal,0.98
65,,Netherlands,1.74
66,,New Zealand,1.41
67,,Nigeria,0.46
68,,Norway,1.77
69,,Oman,0.50
70,,Pakistan,0.70
71,,Panama,0.73
72,,Peru,1.06
73,,Philippines,0.89
74,,Poland,1.24
75,,Portugal,1.65
76,,Puerto Rico,0.71
77,,Qatar,0.45
78,,Romania,1.23
79,,Russia,0.69
80,,Saudi Arabia,0.22
81,,Serbia,1.35
82,,Singapore,1.51
83,,Slovakia,1.43
84,,Slovenia,1.43
85,,South Africa,1.04
86,,South Korea,1.35
87,,Spain,1.36
88,,Sri Lanka,0.80
89,,Sweden,1.61
90,,Switzerland,1.58
91,,Taiwan,0.88
92,,Tanzania,0.93
93,,Thailand,0.84
94,,Trinidad And Tobago,0.56
95,,Tunisia,0.70
96,,Turkey,1.48
97,,Ukraine,0.98
98,,United Arab Emirates,0.52
99,,United Kingdom,1.51
100,,United States,0.65
101,,Uruguay,1.61
102,,Venezuela,0.00
103,,Vietnam,0.80
104,,Zimbabwe,1.38
