,Rank,City,Average Monthly Net Salary (After Tax)
0,,Argentina,833.85
1,,Australia,3485.26
2,,Austria,2506.17
3,,Belgium,2879.42
4,,Bosnia And Herzegovina,524.69
5,,Brazil,1237.45
6,,Bulgaria,350.93
7,,Canada,2858.79
8,,Chile,819.00
9,,China,306.33
10,,Colombia,1000.00
11,,Croatia,880.01
12,,Czech Republic,960.35
13,,Denmark,3140.50
14,,Ecuador,450.00
15,,Egypt,200.00
16,,Estonia,729.86
17,,Finland,2342.80
18,,France,2098.05
19,,Germany,2518.79
20,,Greece,1053.00
21,,Hong Kong,2105.86
22,,Hungary,538.88
23,,India,541.60
24,,Indonesia,134.63
25,,Iran,708.33
26,,Ireland,2263.37
27,,Israel,2247.80
28,,Italy,1673.53
29,,Japan,2924.62
30,,Jordan,675.00
31,,Kazakhstan,400.00
32,,Lithuania,455.65
33,,Malaysia,1103.46
34,,Malta,1784.98
35,,Mexico,959.45
36,,Morocco,747.64
37,,Netherlands,2666.67
38,,New Zealand,1894.78
39,,Norway,3576.33
40,,Pakistan,150.00
41,,Panama,900.00
42,,Philippines,370.37
43,,Poland,808.10
44,,Portugal,1098.77
45,,Puerto Rico,1450.00
46,,Qatar,4083.00
47,,Romania,406.64
48,,Russia,696.70
49,,Saudi Arabia,1953.78
50,,Serbia,360.08
51,,Singapore,3161.43
52,,Slovakia,927.78
53,,Slovenia,1265.43
54,,South Africa,1718.25
55,,South Korea,2127.78
56,,Spain,1311.11
57,,Sweden,2374.55
58,,Switzerland,4410.71
59,,Syria,300.00
60,,Taiwan,1401.33
61,,Thailand,200.43
62,,Turkey,818.68
63,,Ukraine,433.33
64,,United Arab Emirates,3246.22
65,,United Kingdom,2411.23
66,,United States,2680.54
67,,Vietnam,500.00
