,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Algeria,9.50
1,,Argentina,11.22
2,,Australia,20.54
3,,Austria,22.08
4,,Azerbaijan,20.46
5,,Bahrain,-
6,,Bangladesh,9.17
7,,Belarus,16.44
8,,Belgium,12.34
9,,Bosnia And Herzegovina,9.85
10,,Brazil,31.63
11,,Bulgaria,10.32
12,,Canada,20.45
13,,Chile,19.17
14,,China,13.78
15,,Colombia,11.22
16,,Costa Rica,22.94
17,,Croatia,12.23
18,,Cyprus,13.25
19,,Czech Republic,12.81
20,,Denmark,27.00
21,,Dominican Republic,-
22,,Ecuador,14.83
23,,Egypt,6.86
24,,Estonia,-
25,,Ethiopia,13.33
26,,Finland,23.30
27,,France,20.66
28,,Georgia,16.59
29,,Germany,21.79
30,,Ghana,10.77
31,,Greece,14.91
32,,Hong Kong,6.74
33,,Hungary,13.96
34,,Iceland,-
35,,India,6.13
36,,Indonesia,6.27
37,,Iran,11.50
38,,Iraq,-
39,,Ireland,22.98
40,,Israel,14.58
41,,Italy,25.23
42,,Jamaica,-
43,,Japan,15.93
44,,Jordan,17.61
45,,Kazakhstan,16.45
46,,Kenya,-
47,,Kuwait,45.98
48,,Latvia,17.01
49,,Lebanon,17.25
50,,Lithuania,24.18
51,,Luxembourg,17.32
52,,Macedonia,6.94
53,,Malaysia,6.32
54,,Malta,-
55,,Mexico,12.10
56,,Moldova,8.30
57,,Morocco,14.01
58,,Nepal,-
59,,Netherlands,20.25
60,,New Zealand,13.24
61,,Nigeria,22.45
62,,Norway,32.99
63,,Oman,-
64,,Pakistan,8.32
65,,Panama,-
66,,Peru,10.73
67,,Philippines,4.74
68,,Poland,13.40
69,,Portugal,13.29
70,,Puerto Rico,11.25
71,,Qatar,-
72,,Romania,12.01
73,,Russia,21.65
74,,Saudi Arabia,14.44
75,,Serbia,9.97
76,,Singapore,9.85
77,,Slovakia,10.88
78,,Slovenia,11.50
79,,South Africa,5.50
80,,South Korea,19.11
81,,Spain,13.25
82,,Sri Lanka,7.01
83,,Sweden,28.32
84,,Switzerland,37.19
85,,Syria,7.74
86,,Taiwan,8.19
87,,Tanzania,-
88,,Thailand,7.86
89,,Trinidad And Tobago,23.77
90,,Tunisia,4.75
91,,Turkey,12.43
92,,Ukraine,13.85
93,,United Arab Emirates,24.30
94,,United Kingdom,12.87
95,,United States,17.90
96,,Uruguay,21.30
97,,Venezuela,-
98,,Vietnam,7.15
