,Rank,City,Banana (1kg)
0,,Albania,1.38
1,,Algeria,1.81
2,,Argentina,1.85
3,,Armenia,1.76
4,,Australia,2.15
5,,Austria,2.06
6,,Azerbaijan,1.76
7,,Bahrain,2.25
8,,Bangladesh,0.92
9,,Belarus,1.12
10,,Belgium,1.91
11,,Bolivia,-
12,,Bosnia And Herzegovina,1.22
13,,Brazil,1.17
14,,Bulgaria,1.51
15,,Cambodia,1.30
16,,Canada,1.41
17,,Chile,1.14
18,,China,1.21
19,,Colombia,0.78
20,,Costa Rica,1.16
21,,Croatia,1.67
22,,Cyprus,1.62
23,,Czech Republic,1.30
24,,Denmark,2.58
25,,Dominican Republic,0.88
26,,Ecuador,0.98
27,,Egypt,1.01
28,,El Salvador,1.45
29,,Estonia,1.24
30,,Finland,1.66
31,,France,2.18
32,,Georgia,1.70
33,,Germany,1.87
34,,Greece,1.72
35,,Guatemala,1.06
36,,Hong Kong,1.82
37,,Hungary,1.44
38,,Iceland,2.58
39,,India,0.69
40,,Indonesia,1.32
41,,Iran,1.32
42,,Iraq,1.25
43,,Ireland,1.74
44,,Israel,1.87
45,,Italy,1.86
46,,Jamaica,1.49
47,,Japan,3.11
48,,Jordan,1.62
49,,Kazakhstan,1.43
50,,Kenya,1.36
51,,Kosovo (Disputed Territory),1.06
52,,Kuwait,2.15
53,,Latvia,1.51
54,,Lebanon,1.16
55,,Lithuania,1.38
56,,Luxembourg,2.08
57,,Macedonia,1.04
58,,Malaysia,1.31
59,,Malta,1.83
60,,Mauritius,-
61,,Mexico,0.82
62,,Moldova,1.20
63,,Montenegro,1.38
64,,Morocco,1.16
65,,Nepal,0.85
66,,Netherlands,1.79
67,,New Zealand,2.20
68,,Nigeria,2.29
69,,Norway,2.53
70,,Oman,1.71
71,,Pakistan,0.85
72,,Panama,1.03
73,,Peru,0.97
74,,Philippines,1.17
75,,Poland,1.12
76,,Portugal,1.20
77,,Puerto Rico,1.71
78,,Qatar,1.61
79,,Romania,1.26
80,,Russia,1.05
81,,Saudi Arabia,1.46
82,,Serbia,1.19
83,,Singapore,2.02
84,,Slovakia,1.65
85,,Slovenia,1.39
86,,South Africa,1.15
87,,South Korea,3.37
88,,Spain,1.61
89,,Sri Lanka,0.99
90,,Sweden,2.57
91,,Switzerland,2.98
92,,Taiwan,2.43
93,,Thailand,1.18
94,,Trinidad And Tobago,2.19
95,,Tunisia,1.47
96,,Turkey,1.98
97,,Ukraine,1.17
98,,United Arab Emirates,1.82
99,,United Kingdom,1.40
100,,United States,1.51
101,,Uruguay,2.40
102,,Venezuela,0.99
103,,Vietnam,1.05
104,,Zimbabwe,1.22
