,Rank,City,Taxi Start (Normal Tariff)
0,,Albania,2.46
1,,Algeria,0.35
2,,Argentina,1.50
3,,Armenia,1.45
4,,Australia,3.80
5,,Austria,5.44
6,,Azerbaijan,1.27
7,,Bahrain,4.77
8,,Bangladesh,1.03
9,,Belarus,3.00
10,,Belgium,3.81
11,,Bosnia And Herzegovina,1.25
12,,Brazil,1.96
13,,Bulgaria,0.63
14,,Cambodia,2.00
15,,Canada,3.45
16,,Chile,0.45
17,,China,1.60
18,,Colombia,2.05
19,,Costa Rica,1.16
20,,Croatia,2.69
21,,Cyprus,6.80
22,,Czech Republic,1.98
23,,Denmark,6.74
24,,Dominican Republic,3.47
25,,Ecuador,1.00
26,,Egypt,0.42
27,,Estonia,3.88
28,,Finland,8.10
29,,France,5.44
30,,Georgia,1.69
31,,Germany,4.63
32,,Greece,4.08
33,,Hong Kong,2.84
34,,Hungary,2.02
35,,Iceland,5.83
36,,India,0.51
37,,Indonesia,0.60
38,,Iran,0.44
39,,Iraq,4.00
40,,Ireland,6.02
41,,Israel,3.60
42,,Italy,6.80
43,,Jamaica,2.02
44,,Japan,6.86
45,,Jordan,0.35
46,,Kazakhstan,1.77
47,,Kenya,3.42
48,,Kuwait,2.66
49,,Latvia,1.99
50,,Lebanon,7.00
51,,Lithuania,1.09
52,,Luxembourg,-
53,,Macedonia,0.88
54,,Malaysia,0.93
55,,Malta,12.25
56,,Mexico,1.94
57,,Morocco,0.73
58,,Nepal,0.53
59,,Netherlands,6.80
60,,New Zealand,2.54
61,,Nigeria,3.07
62,,Norway,11.84
63,,Oman,2.60
64,,Pakistan,1.01
65,,Panama,1.75
66,,Peru,1.44
67,,Philippines,0.91
68,,Poland,1.97
69,,Portugal,4.42
70,,Puerto Rico,5.00
71,,Qatar,2.75
72,,Romania,0.53
73,,Russia,4.30
74,,Saudi Arabia,2.67
75,,Serbia,1.76
76,,Singapore,2.71
77,,Slovakia,3.67
78,,Slovenia,2.38
79,,South Africa,1.42
80,,South Korea,2.93
81,,Spain,4.08
82,,Sri Lanka,0.38
83,,Sweden,7.47
84,,Switzerland,6.96
85,,Taiwan,2.66
86,,Thailand,1.06
87,,Trinidad And Tobago,0.85
88,,Tunisia,0.28
89,,Turkey,1.43
90,,Ukraine,2.04
91,,United Arab Emirates,1.29
92,,United Kingdom,4.69
93,,United States,3.00
94,,Uruguay,1.58
95,,Venezuela,10.00
96,,Vietnam,0.59
