,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Albania,81.18
1,,Algeria,45.72
2,,Argentina,66.96
3,,Armenia,74.81
4,,Australia,138.95
5,,Austria,215.84
6,,Azerbaijan,46.13
7,,Bahrain,183.75
8,,Bangladesh,47.22
9,,Belarus,49.14
10,,Belgium,140.71
11,,Bolivia,34.08
12,,Bosnia And Herzegovina,143.67
13,,Brazil,59.45
14,,Bulgaria,112.14
15,,Cambodia,88.41
16,,Canada,112.81
17,,Chile,130.11
18,,China,49.77
19,,Colombia,73.18
20,,Costa Rica,68.16
21,,Croatia,185.80
22,,Cyprus,150.29
23,,Czech Republic,188.74
24,,Denmark,198.10
25,,Dominican Republic,73.86
26,,Ecuador,41.46
27,,Egypt,33.25
28,,Estonia,196.28
29,,Finland,110.32
30,,France,169.79
31,,Georgia,66.96
32,,Germany,255.78
33,,Ghana,63.36
34,,Greece,167.29
35,,Guatemala,73.28
36,,Hong Kong,229.24
37,,Hungary,162.65
38,,Iceland,130.52
39,,India,40.20
40,,Indonesia,79.54
41,,Iran,35.43
42,,Iraq,115.52
43,,Ireland,170.74
44,,Israel,256.55
45,,Italy,180.94
46,,Japan,194.00
47,,Jordan,82.84
48,,Kazakhstan,50.45
49,,Kenya,41.96
50,,Kosovo (Disputed Territory),69.72
51,,Kuwait,52.29
52,,Latvia,195.18
53,,Lebanon,165.24
54,,Lithuania,134.59
55,,Luxembourg,250.49
56,,Malaysia,45.53
57,,Malta,101.72
58,,Mauritius,84.59
59,,Mexico,39.59
60,,Moldova,121.75
61,,Montenegro,120.42
62,,Morocco,40.87
63,,Nepal,29.42
64,,Netherlands,183.71
65,,New Zealand,116.52
66,,Nigeria,22.54
67,,North Macedonia,110.27
68,,Norway,160.74
69,,Oman,71.90
70,,Pakistan,69.40
71,,Panama,101.52
72,,Peru,73.35
73,,Philippines,113.06
74,,Poland,177.16
75,,Portugal,115.42
76,,Puerto Rico,182.50
77,,Qatar,91.89
78,,Romania,105.70
79,,Russia,110.05
80,,Saudi Arabia,92.49
81,,Serbia,147.54
82,,Singapore,108.30
83,,Slovakia,191.87
84,,Slovenia,229.22
85,,South Africa,79.70
86,,South Korea,163.17
87,,Spain,135.51
88,,Sri Lanka,72.90
89,,Sweden,80.15
90,,Switzerland,210.11
91,,Syria,-
92,,Taiwan,75.43
93,,Tanzania,103.13
94,,Thailand,84.91
95,,Trinidad And Tobago,65.49
96,,Tunisia,40.63
97,,Turkey,71.71
98,,Uganda,50.66
99,,Ukraine,98.36
100,,United Arab Emirates,163.83
101,,United Kingdom,194.29
102,,United States,162.00
103,,Uruguay,115.57
104,,Uzbekistan,29.17
105,,Venezuela,13.27
106,,Vietnam,68.02
