,Rank,City,Monthly Pass (Regular Price)
0,,Albania,14.58
1,,Algeria,10.02
2,,Argentina,18.79
3,,Armenia,-
4,,Australia,107.60
5,,Austria,54.85
6,,Azerbaijan,11.75
7,,Bahrain,37.13
8,,Bangladesh,25.31
9,,Belarus,15.00
10,,Belgium,54.85
11,,Bolivia,-
12,,Bosnia And Herzegovina,30.20
13,,Brazil,50.45
14,,Brunei,-
15,,Bulgaria,28.55
16,,Cambodia,-
17,,Canada,72.43
18,,Chile,56.36
19,,China,21.72
20,,Colombia,35.83
21,,Costa Rica,51.11
22,,Croatia,54.16
23,,Cyprus,44.77
24,,Czech Republic,23.77
25,,Denmark,59.82
26,,Dominican Republic,33.02
27,,Ecuador,23.37
28,,Egypt,11.97
29,,El Salvador,-
30,,Estonia,25.74
31,,Ethiopia,-
32,,Finland,64.92
33,,France,71.64
34,,Georgia,11.67
35,,Germany,88.54
36,,Greece,33.58
37,,Guatemala,-
38,,Honduras,-
39,,Hong Kong,62.82
40,,Hungary,32.66
41,,Iceland,103.50
42,,India,11.50
43,,Indonesia,10.55
44,,Iran,10.00
45,,Iraq,25.16
46,,Ireland,134.32
47,,Israel,58.71
48,,Italy,39.18
49,,Jamaica,-
50,,Japan,92.36
51,,Jordan,42.31
52,,Kazakhstan,18.29
53,,Kenya,29.61
54,,Kosovo (Disputed Territory),15.67
55,,Kuwait,39.43
56,,Latvia,55.97
57,,Lebanon,70.00
58,,Lithuania,32.46
59,,Luxembourg,30.78
60,,Macedonia,26.21
61,,Malaysia,23.86
62,,Malta,29.10
63,,Mauritius,-
64,,Mexico,16.87
65,,Moldova,9.87
66,,Montenegro,28.54
67,,Morocco,20.59
68,,Namibia,-
69,,Nepal,8.50
70,,Netherlands,100.74
71,,New Zealand,130.70
72,,Nigeria,27.78
73,,Norway,85.66
74,,Oman,27.45
75,,Pakistan,6.81
76,,Palestinian Territory,-
77,,Panama,-
78,,Peru,17.79
79,,Philippines,9.61
80,,Poland,26.08
81,,Portugal,39.18
82,,Puerto Rico,-
83,,Qatar,38.51
84,,Romania,16.47
85,,Russia,30.55
86,,Saudi Arabia,33.33
87,,Serbia,30.31
88,,Singapore,87.35
89,,Slovakia,29.10
90,,Slovenia,41.42
91,,South Africa,34.28
92,,South Korea,46.26
93,,Spain,55.97
94,,Sri Lanka,5.67
95,,Sweden,92.66
96,,Switzerland,78.97
97,,Taiwan,40.59
98,,Thailand,36.56
99,,Trinidad And Tobago,41.39
100,,Tunisia,10.01
101,,Turkey,34.25
102,,Uganda,-
103,,Ukraine,12.06
104,,United Arab Emirates,62.62
105,,United Kingdom,82.43
106,,United States,81.00
107,,Uruguay,49.65
108,,Uzbekistan,15.00
109,,Venezuela,1.36
110,,Vietnam,8.15
